ym,hot_nogi,hot_sisl,vhot_nogi,vhot_sisl,ehot_nogi,ehot_sisl,trop_nogi,trop_sisl,germ_nogi,germ_sisl,tmax_nogi,tmax_sisl,hot_gg,vhot_gg,ehot_gg,tmax_gg,hot_gw,vhot_gw,ehot_gw,tmax_gw,hot_gb,vhot_gb,ehot_gb,tmax_gb,hot_cn,vhot_cn,ehot_cn,tmax_cn
2015-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.245580495818399,4.569095474710679,0.0,0.0,0.0,3.6838709677419352,0.0,0.0,0.0,2.434838709677419,0.0,0.0,0.0,5.079569892473119,0.0,0.0,0.0,4.573387096774193
2015-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32364699074074,6.536614012122928,0.0,0.0,0.0,6.066428571428571,0.0,0.0,0.0,4.665,0.0,0.0,0.0,7.489285714285714,0.0,0.0,0.0,6.379464285714286
2015-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.96380869175627,12.935388060734846,0.0,0.0,0.0,12.978709677419355,0.0,0.0,0.0,11.750967741935483,0.0,0.0,0.0,14.48494623655914,0.0,0.0,0.0,12.53467741935484
2015-04,0.07027777777777779,0.04933135215453195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.58847021604938,18.575607341368116,0.2,0.0,0.0,19.384666666666668,0.0,0.0,0.0,17.438,0.0,0.0,0.0,19.273333333333337,0.0,0.0,0.0,18.1575
2015-05,3.847777777777778,2.8492983325078423,0.46870370370370373,0.1863628859171207,0.0,0.0,0.0,0.0,0.11018518518518518,0.041604754829123326,25.206209826762247,24.742852311641556,3.8,0.2,0.0,25.490322580645163,4.0,0.4,0.0,24.869032258064514,7.666666666666667,1.6666666666666667,0.0,27.143010752688173,2.0,0.0,0.0,24.01532258064516
2015-06,9.851296296296296,7.680534918276375,1.0273611111111112,0.6030212976721149,0.043888888888888894,0.0014858841010401188,2.8143055555555554,2.448687469044081,2.076064814814815,1.092009245501073,27.91640015432099,27.802253095591883,13.0,1.0,0.0,29.111333333333334,11.2,1.4,0.2,27.389333333333333,12.666666666666666,2.0,0.0,28.907777777777778,4.5,0.25,0.0,27.387500000000003
2015-07,12.460509259259258,11.434621099554235,3.256851851851852,2.179362720818887,0.7057407407407408,0.2594353640416047,19.530555555555555,20.88429915799901,13.414629629629628,13.43308568598316,28.850982974910398,28.859026346482608,15.0,3.6,0.6,29.735483870967744,10.8,3.6,1.0,27.77032258064516,15.666666666666666,5.333333333333333,1.6666666666666667,29.653763440860217,9.75,1.0,0.0,28.501612903225805
2015-08,18.152916666666666,18.273683341588246,4.794583333333334,4.030625722304771,1.825185185185185,1.2027076110285622,21.704444444444444,23.290771008750205,16.15189814814815,17.10726432227175,30.277534348864993,30.374577960983558,21.8,5.0,1.2,30.88774193548387,16.4,4.2,1.4,29.28,17.666666666666668,8.333333333333334,5.666666666666667,31.010752688172044,17.75,2.75,0.5,30.179032258064517
2015-09,0.9184722222222221,1.3391282813273897,0.0,0.0,0.0,0.0,1.965324074074074,2.2100214627703485,0.19319444444444445,0.49336305101535416,26.35707962962963,26.908458312696055,1.4,0.0,0.0,27.344666666666665,0.2,0.0,0.0,24.419999999999998,1.0,0.0,0.0,26.588888888888892,1.75,0.0,0.0,27.02166666666667
2015-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.056521505376345,21.42936639558602,0.0,0.0,0.0,21.23741935483871,0.0,0.0,0.0,19.114838709677418,0.0,0.0,0.0,21.978494623655916,0.0,0.0,0.0,21.441935483870967
