feature,lag,raw,adj,n,expected
hot_days,0,0.26477050848193295,-0.05309046521751888,468,+
hot_days,1,0.5173180836499671,0.021308558286364493,454,+
hot_days,2,0.38214379028951934,0.15387675174424595,440,+
vhot_days,0,0.22201076021073074,-0.10976963948464821,468,+
vhot_days,1,0.4641850961999756,0.11212009256623971,454,+
vhot_days,2,0.2903959447591711,0.20325885561394416,440,+
heat_deg,0,0.23935981020111854,-0.10026811290339337,468,+
heat_deg,1,0.4901290847939796,0.11084421270404825,454,+
heat_deg,2,0.30118123961750676,0.15882307792249845,440,+
hot_streak3,0,0.26461665596661865,-0.06140155664982554,468,+
hot_streak3,1,0.4908213106438577,0.021107574058949394,454,+
hot_streak3,2,0.3368777148432534,0.18693134985033097,440,+
trop_nights,0,0.3522419679151828,0.07344678724870098,468,+
trop_nights,1,0.5713760638550375,0.13513407421104617,454,+
trop_nights,2,0.32641630328175564,0.08988695896629578,440,+
night_heat_deg,0,0.31435203966703795,0.02568099116379634,468,+
night_heat_deg,1,0.478493163754705,0.019263702531789256,454,+
night_heat_deg,2,0.2387033067356539,0.004117144899219841,440,+
germ_block_days,0,0.32907047635490466,-0.005603138775217856,468,+
germ_block_days,1,0.5247677386725612,0.0212550026506372,454,+
germ_block_days,2,0.3027652515948495,0.10509839168489028,440,+
cold_days,0,-0.1051993558751804,-0.18289200536053324,468,+
cold_days,1,-0.17472518325514846,-0.021962528364094024,454,+
cold_days,2,-0.3043532394391859,0.0742097168930221,440,+
vcold_days,0,-0.0004218353185937753,-0.06485563542985058,468,+
vcold_days,1,-0.09141703304147898,0.039257214397212935,454,+
vcold_days,2,-0.20568331736157752,0.07231922766265697,440,+
frost_deg,0,-0.009029226676877257,-0.028407831174379422,468,+
frost_deg,1,-0.10785333628120447,0.08956934082069065,454,+
frost_deg,2,-0.23234632280056816,0.0865721132246451,440,+
tavg,0,0.23290990480824486,0.15613310463069824,468,?
tavg,1,0.4053420583606486,0.10373679512036793,454,?
tavg,2,0.41903158810457936,0.07315871565950893,440,?
dtr,0,-0.3113827731109687,-0.17215847694096678,468,?
dtr,1,-0.39579407773988196,-0.2067003924470616,454,?
dtr,2,-0.12243594429392037,-0.023587233274305078,440,?
rain_sum,0,0.39391789682988776,0.3171558252205485,468,+
rain_sum,1,0.526776824068191,0.24243917572206988,454,+
rain_sum,2,0.19271734643952343,-0.35997268157815426,440,+
wet_days,0,0.34070826279204697,0.22481790959590953,468,+
wet_days,1,0.43820486154724614,0.21519199167353514,454,+
wet_days,2,0.16929795448325205,-0.23897152081687306,440,+
wet_streak_max,0,0.331547685569143,0.2449538563396989,468,+
wet_streak_max,1,0.4134314211708862,0.18669760955974932,454,+
wet_streak_max,2,0.181232889067228,-0.21214701054462057,440,+
sun_hours,0,-0.3170817120454064,-0.23674540959917312,468,-
sun_hours,1,-0.2974248991984526,-0.2023964188288598,454,-
sun_hours,2,0.02056437745466466,0.11450050153548054,440,-
sun_ratio,0,-0.3481482126088832,-0.25901857787584565,468,-
sun_ratio,1,-0.4475966772153618,-0.2105043671119809,454,-
sun_ratio,2,-0.2302750160666374,0.08964863541559916,440,-
dark_days,0,0.3792443249858868,0.29278501363481463,468,+
dark_days,1,0.41914799330721514,0.27754232185109873,454,+
dark_days,2,0.06778207592170168,-0.17547286814771273,440,+
humid_hot_days,0,0.3419504239143907,0.12898137158910133,468,+
humid_hot_days,1,0.5057562728397704,0.1623865806780016,454,+
humid_hot_days,2,0.3392320906767217,0.1065232462911528,440,+
