year,which,auc,brier,n
2020,model,0.9618055555555556,0.09153359678354572,52
2020,clim,0.7395833333333334,0.17863868926877455,52
2020,pers,0.8506944444444444,0.1346153846153846,52
2021,model,0.9046563192904656,0.1230300142308351,52
2021,clim,0.8592017738359202,0.13408119658119658,52
2021,pers,0.8270509977827051,0.11538461538461539,52
2022,model,0.980276134122288,0.0510508408961462,52
2022,clim,0.8027613412228797,0.15064102564102566,52
2022,pers,0.8589743589743589,0.09615384615384616,52
2023,model,0.9204545454545454,0.13439767807876365,52
2023,clim,0.8110795454545454,0.13822115384615385,52
2023,pers,0.7670454545454546,0.1346153846153846,52
2024,model,0.9666666666666667,0.06107768411576865,53
2024,clim,0.9071428571428571,0.119895178197065,53
2024,pers,0.957936507936508,0.03773584905660377,53
2025,model,0.9635416666666666,0.06543369375489465,52
2025,clim,0.8862847222222222,0.13293650793650794,52
2025,pers,0.8784722222222222,0.09615384615384616,52
