year,ym,month,actual,pred,method
2020,2020-01,1,5457.007268229654,2418.568115410426,none
2020,2020-02,2,1887.3719771322812,2251.7017793096857,none
2020,2020-03,3,2128.2206493695803,1707.817052761696,none
2020,2020-04,4,1872.786298646229,1872.7985448369618,none
2020,2020-05,5,2064.6228446720447,2445.670668806208,none
2020,2020-06,6,3279.012342580697,2790.0941948957025,none
2020,2020-07,7,4978.318310098686,3828.239707042526,none
2020,2020-08,8,8838.360149034703,4925.188924766074,none
2020,2020-09,9,5619.295180086788,5759.139343968094,none
2020,2020-10,10,1850.8362528978846,3843.8534078609755,none
2020,2020-11,11,1891.802704312295,2676.240429363973,none
2020,2020-12,12,3405.9544521657504,3319.0156802919014,none
2021,2021-01,1,4971.971829364932,3752.2683781842643,none
2021,2021-02,2,2884.4024417256596,2652.5594035993995,none
2021,2021-03,3,2487.209310970788,1856.628719332232,none
2021,2021-04,4,2770.3748635386487,1864.0443086195078,none
2021,2021-05,5,2839.3721514512445,2380.721648914251,none
2021,2021-06,6,3669.2263773169398,2820.6382139804145,none
2021,2021-07,7,4977.055254217393,3707.330189821086,none
2021,2021-08,8,6991.9305302807,4801.153711256784,none
2021,2021-09,9,10460.64757946111,5250.171032220496,none
2021,2021-10,10,7891.324604968693,4144.240036426047,none
2021,2021-11,11,3310.0003088010235,2341.7139258749085,none
2021,2021-12,12,3159.872332558557,1893.3224727852723,none
2022,2022-01,1,4421.075539424003,2817.0817465927876,none
2022,2022-02,2,2395.2541250887098,2695.8527585142056,none
2022,2022-03,3,2578.482910297402,2103.1186066732266,none
2022,2022-04,4,3002.8055780281884,2217.5339000150498,none
2022,2022-05,5,2677.942836412439,2690.7263876183565,none
2022,2022-06,6,3948.8349480423194,3062.5867500962186,none
2022,2022-07,7,8792.50658310678,4203.911518245105,none
2022,2022-08,8,9409.868539984273,6656.0904244948015,none
2022,2022-09,9,5194.005474892095,6388.225376775807,none
2022,2022-10,10,3191.0285531273066,3615.674259247589,none
2022,2022-11,11,2019.4117429570485,2850.755365140135,none
2022,2022-12,12,5281.381163475159,3170.5542248490365,none
2023,2023-01,1,5637.419817242143,4078.8634252689544,none
2023,2023-02,2,3864.1014337678266,2820.0401103274244,none
2023,2023-03,3,3247.3347550611743,2032.8140373425676,none
2023,2023-04,4,2956.0400716665886,2154.8128306531926,none
2023,2023-05,5,2593.58892722053,2542.480812028283,none
2023,2023-06,6,3435.2640133088516,3162.7014922396124,none
2023,2023-07,7,9958.97262643662,4886.685552075041,none
2023,2023-08,8,6789.750961881995,8080.164490266483,none
2023,2023-09,9,7134.070422942123,5117.931354244862,none
2023,2023-10,10,5396.45378473103,3793.127762681735,none
2023,2023-11,11,3737.8953464860106,3159.545010485839,none
2023,2023-12,12,3183.764694039986,3139.6815271575924,none
2024,2024-01,1,4566.930488215524,3667.6216514165985,none
2024,2024-02,2,2857.18395087652,2909.0592729133296,none
2024,2024-03,3,3605.557850886509,2442.779638478435,none
2024,2024-04,4,2354.3771130985897,2576.8037462552556,none
2024,2024-05,5,2432.454660984288,2642.2377087282734,none
2024,2024-06,6,2735.6046494374705,3221.2482288727088,none
2024,2024-07,7,6768.9798004398635,5573.847985117557,none
2024,2024-08,8,8280.265680714458,7010.961935313494,none
2024,2024-09,9,13833.212743914744,7148.012002407176,none
2024,2024-10,10,10924.003764858491,6125.901833236283,none
2024,2024-11,11,3783.3289458904264,3235.186671438806,none
2024,2024-12,12,2953.1652291422224,2416.9572531847375,none
2025,2025-01,1,2729.5997918576377,3294.922793757032,none
2025,2025-02,2,2477.8812422779765,2683.3192558538076,none
2025,2025-03,3,2339.8628511090333,2665.054540895771,none
2025,2025-04,4,2448.7021792584655,2550.9477074621236,none
2025,2025-05,5,3149.438992754348,2731.7751994319374,none
2025,2025-06,6,2655.27192378158,3305.8847408982965,none
2025,2025-07,7,4755.754584835337,5208.723110760482,none
2025,2025-08,8,6177.820058675944,6880.91565810694,none
2025,2025-09,9,9189.889464429847,9343.902518734501,none
2025,2025-10,10,7897.762139341014,7755.93836038362,none
2025,2025-11,11,3488.7216959787406,3792.6212026934577,none
2025,2025-12,12,3536.288227656001,2878.714435258274,none
2020,2020-01,1,5457.007268229654,2492.4890279214524,smearing
2020,2020-02,2,1887.3719771322812,2324.939906870241,smearing
2020,2020-03,3,2128.2206493695803,1760.1780857605897,smearing
2020,2020-04,4,1872.786298646229,1930.0923652438444,smearing
2020,2020-05,5,2064.6228446720447,2524.744976791363,smearing
2020,2020-06,6,3279.012342580697,2887.6752220877206,smearing
2020,2020-07,7,4978.318310098686,3958.948016008752,smearing
2020,2020-08,8,8838.360149034703,5084.680072462847,smearing
2020,2020-09,9,5619.295180086788,5925.830888021483,smearing
2020,2020-10,10,1850.8362528978846,3960.2493641217643,smearing
2020,2020-11,11,1891.802704312295,2766.249399585766,smearing
2020,2020-12,12,3405.9544521657504,3431.949331175764,smearing
2021,2021-01,1,4971.971829364932,3916.877491598286,smearing
2021,2021-02,2,2884.4024417256596,2775.02279979296,smearing
2021,2021-03,3,2487.209310970788,1935.4920323596612,smearing
2021,2021-04,4,2770.3748635386487,1942.5989643265984,smearing
2021,2021-05,5,2839.3721514512445,2485.5667422053557,smearing
2021,2021-06,6,3669.2263773169398,2949.2444622915446,smearing
2021,2021-07,7,4977.055254217393,3870.156097979305,smearing
2021,2021-08,8,6991.9305302807,4995.623240674851,smearing
2021,2021-09,9,10460.64757946111,5457.0581269010145,smearing
2021,2021-10,10,7891.324604968693,4329.367494933551,smearing
2021,2021-11,11,3310.0003088010235,2446.3411444518847,smearing
2021,2021-12,12,3159.872332558557,1964.4007021175264,smearing
2022,2022-01,1,4421.075539424003,2926.6585846910943,smearing
2022,2022-02,2,2395.2541250887098,2818.4988153529703,smearing
2022,2022-03,3,2578.482910297402,2194.477268954788,smearing
2022,2022-04,4,3002.8055780281884,2313.88880711409,smearing
2022,2022-05,5,2677.942836412439,2811.2878991494254,smearing
2022,2022-06,6,3948.8349480423194,3200.947196549666,smearing
2022,2022-07,7,8792.50658310678,4390.553233092607,smearing
2022,2022-08,8,9409.868539984273,6950.918342575573,smearing
2022,2022-09,9,5194.005474892095,6649.393777476556,smearing
2022,2022-10,10,3191.0285531273066,3760.397535171971,smearing
2022,2022-11,11,2019.4117429570485,2980.3034095294165,smearing
2022,2022-12,12,5281.381163475159,3311.6354177293547,smearing
2023,2023-01,1,5637.419817242143,4265.164263890636,smearing
2023,2023-02,2,3864.1014337678266,2955.0289586696626,smearing
2023,2023-03,3,3247.3347550611743,2123.2595245852362,smearing
2023,2023-04,4,2956.0400716665886,2250.203230930526,smearing
2023,2023-05,5,2593.58892722053,2659.3384731721185,smearing
2023,2023-06,6,3435.2640133088516,3310.0594487487488,smearing
2023,2023-07,7,9958.97262643662,5109.849602343002,smearing
2023,2023-08,8,6789.750961881995,8463.06563688985,smearing
2023,2023-09,9,7134.070422942123,5324.277596989909,smearing
2023,2023-10,10,5396.45378473103,3958.3582923424324,smearing
2023,2023-11,11,3737.8953464860106,3313.567024784941,smearing
2023,2023-12,12,3183.764694039986,3279.943944565745,smearing
2024,2024-01,1,4566.930488215524,3774.4429107337537,smearing
2024,2024-02,2,2857.18395087652,3014.2981524134093,smearing
2024,2024-03,3,3605.557850886509,2525.225187171998,smearing
2024,2024-04,4,2354.3771130985897,2664.5279722282853,smearing
2024,2024-05,5,2432.454660984288,2733.6421197119985,smearing
2024,2024-06,6,2735.6046494374705,3333.7191431106035,smearing
2024,2024-07,7,6768.9798004398635,5756.442729277917,smearing
2024,2024-08,8,8280.265680714458,7247.363624357581,smearing
2024,2024-09,9,13833.212743914744,7380.97711600597,smearing
2024,2024-10,10,10924.003764858491,6365.164651192041,smearing
2024,2024-11,11,3783.3289458904264,3358.520603303821,smearing
2024,2024-12,12,2953.1652291422224,2475.4107018113177,smearing
2025,2025-01,1,2729.5997918576377,3377.549447024033,smearing
2025,2025-02,2,2477.8812422779765,2772.0989370091424,smearing
2025,2025-03,3,2339.8628511090333,2753.4714903776858,smearing
2025,2025-04,4,2448.7021792584655,2635.1175992152125,smearing
2025,2025-05,5,3149.438992754348,2825.587657724046,smearing
2025,2025-06,6,2655.27192378158,3420.491270891396,smearing
2025,2025-07,7,4755.754584835337,5362.663694956691,smearing
2025,2025-08,8,6177.820058675944,7098.896746003792,smearing
2025,2025-09,9,9189.889464429847,9670.136037266398,smearing
2025,2025-10,10,7897.762139341014,8057.508232188667,smearing
2025,2025-11,11,3488.7216959787406,3938.9706071384353,smearing
2025,2025-12,12,3536.288227656001,2962.182257356489,smearing
2020,2020-01,1,5457.007268229654,2491.633153262965,analytic
2020,2020-02,2,1887.3719771322812,2324.0919376652514,analytic
2020,2020-03,3,2128.2206493695803,1759.5718367342502,analytic
2020,2020-04,4,1872.786298646229,1929.4290031814942,analytic
