저장 완료: C:\문서\projects 1\crop-price-forecast\data\processed\monthly_panel.csv (140행)
가격 소스: kamis
     ym  price_avg  price_median  price_std  price_min  price_max  n_price_obs      tavg  rain_sum  sun_sum      fx_usd   csi  price_avg_garak_seoul  n_obs_garak_seoul  price_avg_jeonbuk  qty_total_jeonbuk  n_obs_jeonbuk  n_markets_jeonbuk  price_avg_iksan  price_avg_jeongeup  price_avg_jeonju  qty_total_iksan  qty_total_jeongeup  qty_total_jeonju  n_obs_iksan  n_obs_jeongeup  n_obs_jeonju  price_avg_origin_buan  price_avg_origin_gimje  price_avg_origin_gochang  price_avg_origin_gunsan  price_avg_origin_iksan  price_avg_origin_imsil  price_avg_origin_jangsu  price_avg_origin_jeongeup  price_avg_origin_jeonju  price_avg_origin_jinan  price_avg_origin_muju  price_avg_origin_namwon  price_avg_origin_sunchang  price_avg_origin_wanju  qty_total_origin_buan  qty_total_origin_gimje  qty_total_origin_gochang  qty_total_origin_gunsan  qty_total_origin_iksan  qty_total_origin_imsil  qty_total_origin_jangsu  qty_total_origin_jeongeup  qty_total_origin_jeonju  qty_total_origin_jinan  qty_total_origin_muju  qty_total_origin_namwon  qty_total_origin_sunchang  qty_total_origin_wanju  n_obs_origin_buan  n_obs_origin_gimje  n_obs_origin_gochang  n_obs_origin_gunsan  n_obs_origin_iksan  n_obs_origin_imsil  n_obs_origin_jangsu  n_obs_origin_jeongeup  n_obs_origin_jeonju  n_obs_origin_jinan  n_obs_origin_muju  n_obs_origin_namwon  n_obs_origin_sunchang  n_obs_origin_wanju  year  area_ha price_source
2015-01        NaN           NaN        NaN        NaN        NaN          NaN  0.366935   42.8625 311.7375 1088.861905 103.0                    NaN                NaN                NaN                NaN            NaN                NaN              NaN                 NaN               NaN              NaN                 NaN               NaN          NaN             NaN           NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                NaN                 NaN                   NaN                  NaN                 NaN                 NaN                  NaN                    NaN                  NaN                 NaN                NaN                  NaN                    NaN                 NaN  2015    442.0        kamis
2015-02        NaN           NaN        NaN        NaN        NaN          NaN  1.860268   16.9875 304.9500 1098.400000 103.7                    NaN                NaN                NaN                NaN            NaN                NaN              NaN                 NaN               NaN              NaN                 NaN               NaN          NaN             NaN           NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                NaN                 NaN                   NaN                  NaN                 NaN                 NaN                  NaN                    NaN                  NaN                 NaN                NaN                  NaN                    NaN                 NaN  2015    442.0        kamis
2015-03        NaN           NaN        NaN        NaN        NaN          NaN  6.140323   35.7125 370.7500 1112.568182 101.8                    NaN                NaN                NaN                NaN            NaN                NaN              NaN                 NaN               NaN              NaN                 NaN               NaN          NaN             NaN           NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                NaN                 NaN                   NaN                  NaN                 NaN                 NaN                  NaN                    NaN                  NaN                 NaN                NaN                  NaN                    NaN                 NaN  2015    442.0        kamis
2015-04        NaN           NaN        NaN        NaN        NaN          NaN 12.826667  108.9750 392.7375 1088.663636 104.7                    NaN                NaN                NaN                NaN            NaN                NaN              NaN                 NaN               NaN              NaN                 NaN               NaN          NaN             NaN           NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                NaN                 NaN                   NaN                  NaN                 NaN                 NaN                  NaN                    NaN                  NaN                 NaN                NaN                  NaN                    NaN                 NaN  2015    442.0        kamis
2015-05        NaN           NaN        NaN        NaN        NaN          NaN 18.036290   39.6000 435.3875 1091.272222 106.1                    NaN                NaN                NaN                NaN            NaN                NaN              NaN                 NaN               NaN              NaN                 NaN               NaN          NaN             NaN           NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                NaN                 NaN                   NaN                  NaN                 NaN                 NaN                  NaN                    NaN                  NaN                 NaN                NaN                  NaN                    NaN                 NaN  2015    442.0        kamis
2015-06        NaN           NaN        NaN        NaN        NaN          NaN 21.848750  119.7375 436.2125 1112.195455  98.6                    NaN                NaN                NaN                NaN            NaN                NaN              NaN                 NaN               NaN              NaN                 NaN               NaN          NaN             NaN           NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                NaN                 NaN                   NaN                  NaN                 NaN                 NaN                  NaN                    NaN                  NaN                 NaN                NaN                  NaN                    NaN                 NaN  2015    442.0        kamis
2015-07        NaN           NaN        NaN        NaN        NaN          NaN 24.769758  142.5250 443.8000 1143.221739 100.7                    NaN                NaN                NaN                NaN            NaN                NaN              NaN                 NaN               NaN              NaN                 NaN               NaN          NaN             NaN           NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                NaN                 NaN                   NaN                  NaN                 NaN                 NaN                  NaN                    NaN                  NaN                 NaN                NaN                  NaN                    NaN                 NaN  2015    442.0        kamis
2015-08        NaN           NaN        NaN        NaN        NaN          NaN 25.302823   62.4375 418.4750 1179.100000 102.0                    NaN                NaN                NaN                NaN            NaN                NaN              NaN                 NaN               NaN              NaN                 NaN               NaN          NaN             NaN           NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                NaN                 NaN                   NaN                  NaN                 NaN                 NaN                  NaN                    NaN                  NaN                 NaN                NaN                  NaN                    NaN                 NaN  2015    442.0        kamis
2015-09        NaN           NaN        NaN        NaN        NaN          NaN 20.789167   41.7750 372.8250 1184.755000 103.3                    NaN                NaN                NaN                NaN            NaN                NaN              NaN                 NaN               NaN              NaN                 NaN               NaN          NaN             NaN           NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                NaN                 NaN                   NaN                  NaN                 NaN                 NaN                  NaN                    NaN                  NaN                 NaN                NaN                  NaN                    NaN                 NaN  2015    442.0        kamis
2015-10        NaN           NaN        NaN        NaN        NaN          NaN 15.300806  105.0125 350.5375 1148.180952 105.9                    NaN                NaN                NaN                NaN            NaN                NaN              NaN                 NaN               NaN              NaN                 NaN               NaN          NaN             NaN           NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                    NaN                     NaN                       NaN                      NaN                     NaN                     NaN                      NaN                        NaN                      NaN                     NaN                    NaN                      NaN                        NaN                     NaN                NaN                 NaN                   NaN                  NaN                 NaN                 NaN                  NaN                    NaN                  NaN                 NaN                NaN                  NaN                    NaN                 NaN  2015    442.0        kamis
