crop_id,county_id,n_obs,skipped,target_source,params_source,baseline_mape,best_alpha,best_blend_w,use_gpj_feature,feature_variant,model_mape,n_folds,consensus_alpha,consensus_blend_w,consensus_mape,model_mape_own
cherrytomato,buan,12,True,origin,,,,,,,,,,,,
cherrytomato,gimje,103,False,origin,own,22.448961896401972,2.0,0.6,False,,21.672935043038745,6.0,,,,
cherrytomato,gochang,90,False,origin,own,22.768683042732395,100.0,0.6,False,,24.016264567827708,6.0,,,,
cherrytomato,gunsan,57,False,origin,crop_consensus,25.40894981157565,10.0,0.6,False,,40.45511190130107,5.0,10.0,0.6,40.45511190130107,39.0816948539899
cherrytomato,iksan,103,False,origin,own,25.69250887693452,10.0,0.5,False,,23.433422616045956,6.0,,,,
cherrytomato,imsil,80,False,origin,own,31.30384451412944,100.0,0.6,False,,32.672619137857104,6.0,,,,
cherrytomato,jangsu,35,True,origin,,,,,,,,,,,,
cherrytomato,jeongeup,99,False,origin,own,35.19697638631208,5.0,0.6,False,,35.4981067898593,6.0,,,,
cherrytomato,jeonju,102,False,origin,own,21.468696135181514,10.0,0.6,False,,21.823771045499658,6.0,,,,
cherrytomato,jinan,54,False,origin,crop_consensus,43.97125111459279,10.0,0.6,False,,60.56221806684571,5.0,10.0,0.6,60.56221806684571,59.86085486532271
cherrytomato,muju,29,True,origin,,,,,,,,,,,,
cherrytomato,namwon,104,False,origin,own,24.79252253703986,30.0,0.4,False,,22.08498859175015,6.0,,,,
cherrytomato,sunchang,81,False,origin,own,28.343884043542744,2.0,0.6,False,,26.20184218546689,6.0,,,,
cherrytomato,wanju,81,False,origin,own,22.558914657343397,5.0,0.6,False,,26.729959356359473,6.0,,,,
cucumber,buan,37,True,origin,,,,,,,,,,,,
cucumber,gimje,103,False,origin,own,30.43525593424161,30.0,0.6,True,,28.319297186110862,6.0,,,,
cucumber,gochang,50,False,origin,crop_consensus,53.023826764509614,5.0,0.6,False,,65.80069604024628,6.0,5.0,0.6,65.80069604024628,65.70314306390628
cucumber,gunsan,70,False,gpj,own,29.268711652393563,5.0,0.4,False,,27.412320191797505,5.0,,,,
cucumber,iksan,98,False,origin,own,24.987620744831684,5.0,0.6,False,,22.475075377289965,6.0,,,,
cucumber,imsil,104,False,origin,own,24.546861047465352,3.0,0.3,False,,21.543675012507304,6.0,,,,
