crop_id,county_id,n_obs,skipped,target_source,params_source,baseline_mape,best_alpha,best_blend_w,use_gpj_feature,feature_variant,model_mape,n_folds,consensus_alpha,consensus_blend_w,consensus_mape,model_mape_own
cherrytomato,buan,6,True,origin,,,,,,,,,,,,
cherrytomato,gimje,103,False,origin,own,23.32799330154531,2.0,0.6,False,,22.838787950433993,6.0,,,,
cherrytomato,gochang,86,False,origin,own,19.922508844697102,20.0,0.6,False,,19.440326760846194,6.0,,,,
cherrytomato,gunsan,66,False,gpj,own,33.13792115410189,2.0,0.6,False,,53.481155409605606,5.0,,,,
cherrytomato,iksan,103,False,origin,own,26.550598154760575,50.0,0.2,False,,23.215829852100427,6.0,,,,
cherrytomato,imsil,72,False,origin,own,35.36330401697238,100.0,0.6,True,,37.50673082463473,6.0,,,,
cherrytomato,jangsu,30,True,origin,,,,,,,,,,,,
cherrytomato,jeongeup,89,False,origin,own,68.8445954526352,2.0,0.6,False,,72.26414239128981,6.0,,,,
cherrytomato,jeonju,100,False,origin,own,20.458534271224888,5.0,0.6,True,,22.423607140002304,6.0,,,,
cherrytomato,jinan,46,False,origin,crop_consensus,47.94774801645872,5.0,0.6,False,,41.87705177232809,5.0,5.0,0.6,41.87705177232809,40.0687685135176
cherrytomato,muju,29,True,origin,,,,,,,,,,,,
cherrytomato,namwon,104,False,origin,own,24.920310232205363,100.0,0.4,False,,23.46174697532938,6.0,,,,
cherrytomato,sunchang,72,False,origin,own,26.98344617400451,2.0,0.5,False,,24.21747481941408,6.0,,,,
cherrytomato,wanju,76,False,origin,own,25.016622695327033,3.0,0.6,False,,28.96503413696262,6.0,,,,
cucumber,buan,30,True,origin,,,,,,,,,,,,
cucumber,gimje,102,False,origin,own,32.708490373062844,20.0,0.6,False,,30.97566319186258,6.0,,,,
cucumber,gochang,46,False,origin,own,61.370877089633694,100.0,0.6,False,,75.92115410272429,6.0,5.0,0.5,83.36393743640518,
cucumber,gunsan,70,False,gpj,own,29.268711652393563,5.0,0.4,False,,27.412320191797495,5.0,,,,
cucumber,iksan,98,False,origin,own,24.94650502766132,10.0,0.6,False,,21.947610426991442,6.0,,,,
cucumber,imsil,103,False,origin,own,26.79020710221619,10.0,0.5,False,,24.47380967991509,6.0,,,,
cucumber,jangsu,79,False,origin,own,35.60388382013953,2.0,0.4,False,,33.757715597343946,6.0,,,,
cucumber,jeongeup,81,False,origin,own,27.098133058118467,5.0,0.5,True,,26.417075747579144,6.0,,,,
cucumber,jeonju,97,False,origin,own,29.523282060756994,2.0,0.6,False,,35.682512691272166,6.0,,,,
cucumber,jinan,103,False,origin,own,30.906511692104683,100.0,0.4,False,,26.505032783649906,6.0,,,,
cucumber,muju,40,False,origin,own,65.93533190276855,100.0,0.6,False,,63.31708062621072,6.0,5.0,0.5,68.09184255194616,
cucumber,namwon,100,False,origin,own,26.70111078049196,2.0,0.5,False,,24.917939478923827,6.0,,,,
cucumber,sunchang,38,True,origin,,,,,,,,,,,,
cucumber,wanju,84,False,origin,own,46.744530780002655,2.0,0.3,False,,42.90611499702985,6.0,,,,
grape,buan,17,True,origin,,,,,,,,,,,,
grape,gimje,47,False,gpj,own,70.67734817063092,3.0,0.6,False,,62.62542144537235,5.0,,,,
grape,gochang,5,True,origin,,,,,,,,,,,,
grape,gunsan,1,True,origin,,,,,,,,,,,,
grape,iksan,78,False,origin,own,52.14109189911832,100.0,0.0,False,,38.542182562546145,6.0,,,,
grape,imsil,1,True,origin,,,,,,,,,,,,
grape,jangsu,27,True,origin,,,,,,,,,,,,
grape,jeongeup,10,True,origin,,,,,,,,,,,,
grape,jeonju,64,False,origin,own,46.32221180187221,100.0,0.1,False,,37.37171206052624,6.0,,,,
grape,jinan,14,True,origin,,,,,,,,,,,,
grape,muju,52,False,origin,own,46.783730969094755,100.0,0.0,False,,32.333765125126156,6.0,,,,
grape,namwon,58,False,origin,own,34.252114191901626,100.0,0.0,False,,23.570024901299238,6.0,,,,
grape,sunchang,3,True,origin,,,,,,,,,,,,
grape,wanju,57,False,origin,own,41.84386568589271,2.0,0.6,False,,45.589016609936124,5.0,,,,
greenonion,buan,73,False,origin,own,58.03570755006998,10.0,0.6,False,leafy_weather,51.785541793615465,6.0,,,,
greenonion,gimje,60,False,origin,own,147.90228187402806,5.0,0.2,False,leafy_weather,110.53065904909549,6.0,,,,
greenonion,gochang,78,False,origin,own,51.01738378332394,10.0,0.2,False,,34.76370364705647,6.0,,,,
greenonion,gunsan,65,False,origin,own,32.068051512504404,20.0,0.1,True,,24.426420262658542,5.0,,,,
greenonion,iksan,103,False,origin,own,41.63884127045072,50.0,0.0,False,,28.435784540344088,6.0,,,,
greenonion,imsil,9,True,origin,,,,,,,,,,,,
greenonion,jangsu,79,False,origin,own,33.753567131414876,2.0,0.4,False,,28.849576612282252,6.0,,,,
greenonion,jeongeup,13,True,origin,,,,,,,,,,,,
greenonion,jeonju,103,False,origin,own,57.54071886042419,5.0,0.1,False,,39.5293137194388,6.0,,,,
greenonion,jinan,28,True,origin,,,,,,,,,,,,
greenonion,muju,13,True,origin,,,,,,,,,,,,
greenonion,namwon,49,False,origin,own,56.242879278316025,2.0,0.6,True,leafy_weather,59.88556979836264,6.0,5.0,0.3,68.87695586407828,
greenonion,sunchang,4,True,origin,,,,,,,,,,,,
greenonion,wanju,103,False,origin,own,42.423967072453465,3.0,0.4,False,,37.227438848003295,6.0,,,,
lettuce,buan,44,False,origin,crop_consensus,48.36304341936249,20.0,0.4,False,,45.01892124607203,4.0,20.0,0.4,45.01892124607203,43.484730180971106
lettuce,gimje,104,False,origin,own,40.749693156572,2.0,0.3,False,leafy_weather,34.631274902121966,6.0,,,,
