[제외] greenonion x gimje: CV MAPE 122% (데이터 문제 — HANDOFF.md 참고)
[제외] watermelon x buan: CV MAPE 188% (데이터 문제 — HANDOFF.md 참고)
예측 대상 조합: 91개

========================================================================================
2025년 검증 (학습: ~2024-12)
========================================================================================
     crop_id county_id  label target_source  n_train  n_test  baseline_MAPE  model_MAPE  cv_mape_ref  spike_threshold
cherrytomato     iksan 2025검증        origin       83      12      14.323078   11.317287    23.433423     19734.512468
cherrytomato   gochang 2025검증        origin       73      10      15.817138   15.320997    24.016265     27499.999800
cherrytomato  sunchang 2025검증        origin       66       9      21.306158   17.631428    26.201842     24711.267606
cherrytomato     gimje 2025검증        origin       83      12      17.344397   19.198720    21.672935     22979.082453
cherrytomato    gunsan 2025검증        origin       46       3      17.205519   19.922963    40.455112     23801.470588
cherrytomato    namwon 2025검증        origin       84      12      21.785401   21.835184    22.084989     17630.632394
cherrytomato    jeonju 2025검증        origin       83      11      21.067733   28.343419    21.823771     19003.304156
cherrytomato     jinan 2025검증        origin       42       5      30.215824   29.737986    60.562218     25409.545455
cherrytomato  jeongeup 2025검증        origin       79      12      29.457659   31.739560    35.498107     19440.982952
cherrytomato     wanju 2025검증        origin       62      12      24.982262   33.732868    26.729959     20273.476416
cherrytomato     imsil 2025검증        origin       60      12      37.025891   36.458594    32.672619     21545.582539
    cucumber    namwon 2025검증        origin       82      11      15.245425   11.669199    19.199861     27985.179974
    cucumber     iksan 2025검증        origin       78      12      17.395437   12.890202    22.475075     26856.178020
    cucumber     gimje 2025검증        origin       83      12      20.407784   15.470043    28.319297     31321.309623
    cucumber     wanju 2025검증        origin       67      12      22.899081   19.218472    30.174466     33915.169775
    cucumber     imsil 2025검증        origin       84      12      18.807614   19.522537    21.543675     30542.895467
    cucumber  jeongeup 2025검증        origin       82      12      15.850186   19.614891    23.949235     26328.500000
    cucumber    gunsan 2025검증           gpj       59       8      21.234581   20.005567    27.412320      3643.704076
    cucumber    jeonju 2025검증        origin       82      12      17.867478   20.074656    24.610763     25750.555837
    cucumber    jangsu 2025검증        origin       63      10      22.997858   21.805930    30.039943     20758.769144
    cucumber     jinan 2025검증        origin       83      12      23.631347   23.408070    23.291982     29446.224464
    cucumber   gochang 2025검증        origin       37       8      31.683273   27.350878    65.800696     26394.117647
    cucumber      muju 2025검증        origin       39       3      89.544323   85.530857    69.198027     23363.471264
    cucumber  sunchang 2025검증        origin       45       4      78.623385   94.953282    58.609758     23575.463203
       grape      muju 2025검증        origin       41       9      83.121195   27.582889    23.799039     15775.260146
       grape    namwon 2025검증        origin       48       8      53.868205   29.175268    28.238942     23662.922677
       grape     wanju 2025검증        origin       45      10      34.297034   35.738227    45.286119     53396.969697
       grape     iksan 2025검증        origin       65      10      78.791834   37.660215    36.010114     30363.967282
       grape     gimje 2025검증        origin       33       8      61.579235   55.410781    28.768113     13898.757510
       grape    jeonju 2025검증        origin       79       9     126.808360   57.516126    33.244644     36000.000000
       grape  jeongeup 2025검증        origin       57      10      61.801023   71.954975    36.019034     36228.571429
  greenonion     iksan 2025검증        origin       84      12      15.302193   19.304370    26.161053      7427.405192
  greenonion  jeongeup 2025검증        origin       76      12      18.439235   20.023999    28.295591      4621.963414
  greenonion    jeonju 2025검증        origin       84      12      50.327153   23.643070    29.448376      7198.485046
  greenonion    jangsu 2025검증        origin       69       8      30.763265   29.117697    29.916875      4254.869873
  greenonion     wanju 2025검증        origin       84      12      50.806376   37.816307    37.384808     11149.033930
  greenonion      buan 2025검증        origin       69      11      70.958501   47.266754    51.984825     10296.855822
  greenonion    namwon 2025검증        origin       49       3      71.734945   54.388060    67.916676      5400.000000
  greenonion   gochang 2025검증        origin       73       5      62.433097   61.429699    38.236770      6162.214236
     lettuce     wanju 2025검증        origin       84      12      17.116739   11.051407    24.341698     17041.620338
     lettuce     gimje 2025검증        origin       84      12      25.101809   11.379825    32.862207     20970.676502
     lettuce     iksan 2025검증        origin       84      12      23.690228   13.393224    23.158636     22617.882333
     lettuce  jeongeup 2025검증        origin       83      12      18.645198   16.169069    61.579716     19875.692308
     lettuce      buan 2025검증        origin       56       7      24.500403   19.661377    29.919417     19757.000781
     lettuce    jangsu 2025검증        origin       84      12      22.679724   20.171684    23.120362     21007.526024
     lettuce     jinan 2025검증        origin       78      12      20.536502   22.205081    29.134953     17772.391232
     lettuce    jeonju 2025검증        origin       84      12      29.332840   22.802180    29.741921     17269.390933
     lettuce    namwon 2025검증        origin       84      12      35.823403   24.851678    23.597017     19504.430542
     lettuce  sunchang 2025검증        origin       84      12      29.439188   25.557990    28.807550     19050.265016
     lettuce      muju 2025검증        origin       54       7      20.905557   28.655738    51.560352     19837.132216
     lettuce    gunsan 2025검증           gpj       59       7      45.714617   29.882866    29.952975      5158.277408
     lettuce   gochang 2025검증        origin       67       8      51.992955   55.957392    43.424218     23265.568734
     lettuce     imsil 2025검증        origin       25      12      46.244224   61.105480    58.370344     14833.698587
       melon   gochang 2025검증        origin       47       8      22.300645   18.807379    24.079043     36613.23
