crop_id,county_id,partner,mape_base,mape_with_cross,delta
cherrytomato,gimje,tomato,22.84,22.63,-0.21
cherrytomato,gochang,tomato,19.44,18.01,-1.43
cherrytomato,iksan,tomato,23.22,23.89,0.68
cherrytomato,imsil,tomato,39.18,35.56,-3.62
cherrytomato,jeongeup,tomato,72.26,72.43,0.17
cherrytomato,jeonju,tomato,22.45,21.51,-0.94
cherrytomato,jinan,tomato,40.07,45.22,5.15
cherrytomato,namwon,tomato,23.46,22.93,-0.53
cherrytomato,sunchang,tomato,24.22,23.32,-0.9
cherrytomato,wanju,tomato,28.97,27.68,-1.29
cucumber,gimje,watermelon,30.98,31.24,0.26
cucumber,gimje,melon,30.98,31.14,0.17
cucumber,gochang,watermelon,75.92,70.0,-5.92
cucumber,gochang,melon,75.92,75.97,0.05
cucumber,iksan,watermelon,21.95,21.95,0.01
cucumber,iksan,melon,21.95,22.19,0.24
cucumber,imsil,watermelon,24.47,24.73,0.25
cucumber,imsil,melon,24.47,25.15,0.67
cucumber,jangsu,watermelon,33.76,33.75,-0.0
cucumber,jangsu,melon,33.76,34.98,1.22
cucumber,jeongeup,watermelon,26.66,27.28,0.62
cucumber,jeongeup,melon,26.66,27.65,0.99
cucumber,jeonju,watermelon,35.68,36.75,1.06
cucumber,jeonju,melon,35.68,36.3,0.62
cucumber,jinan,watermelon,26.51,25.54,-0.96
cucumber,jinan,melon,26.51,26.66,0.15
cucumber,muju,watermelon,63.32,63.3,-0.02
cucumber,muju,melon,63.32,66.94,3.63
cucumber,namwon,watermelon,24.92,25.29,0.38
cucumber,namwon,melon,24.92,25.75,0.83
cucumber,wanju,watermelon,42.91,46.48,3.57
cucumber,wanju,melon,42.91,44.65,1.74
grape,iksan,peach,38.54,42.95,4.41
grape,jeonju,peach,37.37,37.65,0.28
grape,muju,peach,32.33,35.71,3.38
grape,namwon,peach,23.57,25.37,1.8
grape,wanju,peach,45.59,47.55,1.96
greenonion,buan,lettuce,53.17,54.88,1.71
greenonion,gimje,lettuce,111.13,124.11,12.99
greenonion,gochang,lettuce,34.76,35.42,0.65
greenonion,gunsan,lettuce,26.05,26.3,0.25
greenonion,iksan,lettuce,28.44,27.22,-1.22
greenonion,jangsu,lettuce,28.85,29.15,0.3
greenonion,jeonju,lettuce,39.53,39.13,-0.39
greenonion,namwon,lettuce,66.56,67.36,0.8
greenonion,wanju,lettuce,37.23,37.0,-0.23
lettuce,buan,greenonion,43.48,43.01,-0.47
lettuce,gimje,greenonion,34.83,37.54,2.71
lettuce,gochang,greenonion,45.41,43.74,-1.66
lettuce,iksan,greenonion,25.16,25.63,0.47
lettuce,jangsu,greenonion,23.26,23.36,0.1
lettuce,jeonju,greenonion,30.24,30.51,0.28
lettuce,jinan,greenonion,40.51,41.23,0.72
lettuce,muju,greenonion,54.05,54.41,0.36
lettuce,namwon,greenonion,25.52,25.52,0.0
lettuce,sunchang,greenonion,29.91,29.94,0.03
lettuce,wanju,greenonion,24.24,24.5,0.26
melon,gochang,watermelon,22.04,22.17,0.13
melon,gochang,cucumber,22.04,22.53,0.49
melon,iksan,watermelon,26.71,26.9,0.19
melon,iksan,cucumber,26.71,27.33,0.62
melon,jeongeup,watermelon,41.24,41.68,0.44
melon,jeongeup,cucumber,41.24,42.2,0.96
melon,jeonju,watermelon,29.49,30.69,1.2
melon,jeonju,cucumber,29.49,28.52,-0.97
peach,gimje,grape,33.75,35.15,1.39
peach,iksan,grape,48.78,49.0,0.22
peach,jeonju,grape,25.98,25.3,-0.68
peach,namwon,grape,16.04,25.91,9.87
tomato,buan,cherrytomato,24.75,28.5,3.75
tomato,gimje,cherrytomato,25.21,26.24,1.03
tomato,iksan,cherrytomato,36.79,41.76,4.97
tomato,imsil,cherrytomato,30.74,31.72,0.99
tomato,jangsu,cherrytomato,19.96,20.03,0.08
tomato,jeongeup,cherrytomato,35.19,35.15,-0.04
tomato,jeonju,cherrytomato,23.32,23.45,0.14
tomato,jinan,cherrytomato,37.61,35.73,-1.88
tomato,muju,cherrytomato,25.93,29.08,3.15
tomato,namwon,cherrytomato,25.48,29.09,3.61
tomato,wanju,cherrytomato,24.18,23.73,-0.45
watermelon,buan,melon,462.87,467.2,4.34
watermelon,buan,cucumber,462.87,456.31,-6.56
watermelon,gochang,melon,33.82,35.04,1.21
watermelon,gochang,cucumber,33.82,32.16,-1.67
watermelon,iksan,melon,28.13,28.0,-0.13
watermelon,iksan,cucumber,28.13,28.11,-0.02
watermelon,jeongeup,melon,59.25,64.68,5.43
watermelon,jeongeup,cucumber,59.25,57.51,-1.74
watermelon,jeonju,melon,33.2,38.25,5.05
watermelon,jeonju,cucumber,33.2,48.03,14.84
