unit,county,eup,qty_t,n_months,active_months,gap_max,winter_share,summer_share,spring_share,autumn_share,cv_month,peak_month,min_share,price,type
익산시·(미상),익산시,(미상),41794.70013,104,12,0,22.92275767071044,14.108650335230916,21.59806906598806,14.769235766257431,0.1725643394611359,5,6.615332784779094,4023.850153085619,시설
남원시·금지면,남원시,금지면,18658.5551,104,12,0,16.37293929581932,21.79758388686806,18.141517292515324,16.25728243019204,0.26019415732974377,7,5.163008576157111,4703.657761771648,시설
완주군·삼례읍,완주군,삼례읍,11320.309299999999,104,12,0,24.342990345678984,14.013754023487682,20.33617138005231,14.533007503602398,0.17448782376524233,3,6.646809553163005,3242.184003946429,시설
남원시·(미상),남원시,(미상),8641.809600000002,104,12,0,13.934095470004337,26.958346779591167,17.909107833155687,14.237765664265503,0.4723238732067248,7,4.253565132932343,5433.706118306516,시설
익산시·목천동,익산시,목천동,5291.36775,104,12,0,23.166656673976213,15.443411582950363,21.32073507837364,13.235817903603467,0.21416851527103542,3,6.169028792224846,3515.338482982212,시설
남원시·수지면,남원시,수지면,5197.4093,104,12,0,25.017579431352463,14.617807760493292,20.847415268987955,12.102135192623756,0.23101296491278497,3,5.582338877948289,3817.7378592636524,시설
남원시·동충동,남원시,동충동,4964.3184,104,12,0,18.097173219187553,18.618985035287018,21.339292016402496,14.481246811244018,0.24253704598631504,5,5.386662950547249,4650.978657212236,시설
전주시·(미상),전주시,(미상),3607.4311,104,12,0,23.29172690228235,16.40351772761509,21.240752179577317,12.889906615264252,0.2118288620407237,4,5.795495304123757,3121.0988424779616,시설
익산시·망성면,익산시,망성면,3514.4968,104,12,0,23.98245461483988,11.591275314292503,23.045538126539192,11.966791376791122,0.29044914090709206,4,5.004283970325424,3480.7354384732976,시설
완주군·봉동읍,완주군,봉동읍,2946.1386,104,12,0,24.483165863276085,16.322830161486632,19.682678880077127,11.643104638729488,0.2612460798790125,3,4.8025812499113245,3350.918768398404,시설
남원시·운봉읍,남원시,운봉읍,2564.8001,66,12,0,11.002397418808588,37.891050456524866,13.583085870902767,13.540232628655936,0.8025237391007856,7,3.0742161933009915,5652.472132616495,시설
남원시·아영면,남원시,아영면,2502.4547000000002,104,12,0,14.963028101967243,24.68477850967692,15.015896191847151,19.007468946390922,0.3558763999166393,7,3.806822157460034,5345.229025124011,시설
완주군·용진면,완주군,용진면,2445.2477999999996,104,12,0,26.94539179219382,17.21876204121316,17.643937763690044,14.053136046170863,0.17011964763514956,3,6.188321690750524,3279.251410370352,시설
장수군·계남면,장수군,계남면,2352.6895,104,12,0,6.685285074804815,25.814273409219535,16.32623004438112,26.32035804129699,0.5948210862915692,10,1.7058774649183415,4580.620651283562,시설(추정)
장수군·(미상),장수군,(미상),2201.1608499999998,104,12,0,5.810388641066373,32.633092215864195,12.820053564009193,24.407543864865673,0.7144487979769617,7,1.4418301143235401,5439.900251456863,시설(추정)
순창군·순창읍,순창군,순창읍,1632.4242000000002,104,12,0,25.774189086390656,11.238414622865797,24.791962775361938,9.153135563660477,0.386812680404296,3,4.14414341566365,3354.123647921906,시설
장수군·장수읍,장수군,장수읍,1602.9983,104,12,0,9.404407977226176,23.699594690774155,21.564664167142286,18.992247215733165,0.4921897871424149,6,2.627014638755387,4480.943620265224,시설(추정)
익산시·갈산동,익산시,갈산동,1268.8806000000002,104,12,0,25.887148089426223,13.423335497445542,20.358101463605006,12.364796183344595,0.21425203484696942,4,5.508335457252636,3581.929219992803,시설
완주군·(미상),완주군,(미상),1185.2742,103,12,0,17.909104914289028,16.510441212674667,27.803380854826663,8.231335837732736,0.4878841828937204,5,3.687079327298273,3649.3706929974514,시설
진안군·진안읍,진안군,진안읍,1143.6565,103,10,2,1.6624309834290278,56.02827422394749,5.677884924363216,20.89003122878242,1.2835758081207627,7,0.2874989124794027,5844.877606257648,노지(고랭지)
김제시·(미상),김제시,(미상),1064.0516,99,12,0,15.371575964925011,36.71767421805484,18.679084736116184,8.37092862789737,0.7287098568292543,7,3.3947601789236543,4369.857918628195,시설
완주군·고산면,완주군,고산면,723.695,99,12,0,22.77437318207256,12.293023994914984,26.292153462439288,11.535937100574136,0.3888977147183628,4,4.640076275226442,3083.01821291428,시설
