year,n_train,n_test,alpha,blend,baseline,model,featureset
2020,24,12,1.0,0.2,42.23287500200361,37.12830236942748,계절만
2021,36,12,1.0,0.2,22.411160224714894,23.868045827205822,계절만
2022,48,12,3.0,0.2,28.468504738886384,30.963806404713395,계절만
2023,60,12,30.0,0.4,20.348627808548233,20.75134825072579,계절만
2024,72,12,30.0,0.4,20.55547632831612,26.57471254234935,계절만
2025,84,12,30.0,0.6,18.66929869366238,15.429182990607485,계절만
2020,24,12,1.0,0.2,42.23287500200361,29.139083837258166,가격시차
2021,36,12,1.0,0.2,22.411160224714894,29.449322592618195,가격시차
2022,48,12,0.1,0.2,28.468504738886384,26.26876376031526,가격시차
2023,60,12,0.1,0.2,20.348627808548233,22.82017239738112,가격시차
2024,72,12,0.01,0.4,20.55547632831612,20.621816341928216,가격시차
2025,84,12,0.01,0.4,18.66929869366238,11.376875691528305,가격시차
2020,24,12,1.0,0.2,42.23287500200361,34.2823899958486,rev2재현
2021,36,12,1.0,0.2,22.411160224714894,28.816752491132263,rev2재현
2022,48,12,0.01,0.0,28.468504738886384,25.880123387581644,rev2재현
2023,60,12,0.01,0.2,20.348627808548233,21.584883104691922,rev2재현
2024,72,12,30.0,0.2,20.55547632831612,19.101003071797205,rev2재현
2025,84,12,30.0,0.4,18.66929869366238,13.537942219298898,rev2재현
2020,24,12,1.0,0.2,42.23287500200361,27.888158061025415,+광
2021,36,12,1.0,0.2,22.411160224714894,30.619490652960863,+광
2022,48,12,3.0,0.0,28.468504738886384,27.71194628882259,+광
2023,60,12,0.1,0.2,20.348627808548233,24.36020655964175,+광
2024,72,12,0.01,0.4,20.55547632831612,20.38688774778462,+광
2025,84,12,0.01,0.6,18.66929869366238,13.022737525481906,+광
2020,24,12,1.0,0.2,42.23287500200361,35.58625950836327,+고온(파종기)
2021,36,12,1.0,0.2,22.411160224714894,27.380874665252236,+고온(파종기)
2022,48,12,0.01,0.4,28.468504738886384,25.47253414439494,+고온(파종기)
2023,60,12,0.01,0.4,20.348627808548233,22.112131088855968,+고온(파종기)
2024,72,12,0.01,0.4,20.55547632831612,18.587196277879396,+고온(파종기)
2025,84,12,0.01,0.4,18.66929869366238,15.614775023756314,+고온(파종기)
2020,24,12,1.0,0.2,42.23287500200361,33.91377543668932,+광+고온
2021,36,12,1.0,0.2,22.411160224714894,28.728732401556243,+광+고온
2022,48,12,10.0,0.0,28.468504738886384,27.47656764638305,+광+고온
2023,60,12,3.0,0.2,20.348627808548233,24.330541681553743,+광+고온
2024,72,12,1.0,0.4,20.55547632831612,17.25128720649972,+광+고온
2025,84,12,3.0,0.4,18.66929869366238,16.969456487388914,+광+고온
2020,24,12,1.0,0.2,42.23287500200361,31.816100853860895,+가중기상
2021,36,12,1.0,0.2,22.411160224714894,30.197270178819107,+가중기상
2022,48,12,0.1,0.4,28.468504738886384,25.722646768234487,+가중기상
2023,60,12,1.0,0.2,20.348627808548233,24.51102442711294,+가중기상
2024,72,12,0.1,0.4,20.55547632831612,16.464962814493614,+가중기상
2025,84,12,0.1,0.4,18.66929869366238,17.197402310967096,+가중기상
2020,24,12,1.0,0.2,42.23287500200361,37.557107048282084,+격차
2021,36,12,1.0,0.2,22.411160224714894,28.639538903727352,+격차
2022,48,12,30.0,0.0,28.468504738886384,31.133358858572453,+격차
2023,60,12,30.0,0.2,20.348627808548233,20.930932736680067,+격차
2024,72,12,30.0,0.6,20.55547632831612,17.912979893939575,+격차
2025,84,12,1.0,0.6,18.66929869366238,14.72946295206583,+격차
2020,24,12,1.0,0.2,42.23287500200361,28.5435398625387,+물량시차
2021,36,12,1.0,0.2,22.411160224714894,30.754430886217193,+물량시차
2022,48,12,3.0,0.0,28.468504738886384,27.671194867149662,+물량시차
2023,60,12,0.01,0.2,20.348627808548233,23.8828281415112,+물량시차
2024,72,12,0.01,0.4,20.55547632831612,20.944801452134897,+물량시차
2025,84,12,0.01,0.6,18.66929869366238,14.96874936506466,+물량시차
2020,24,12,1.0,0.2,42.23287500200361,26.68494841890878,+쫑상추
2021,36,12,1.0,0.2,22.411160224714894,29.43841325909093,+쫑상추
2022,48,12,3.0,0.0,28.468504738886384,28.93892647407514,+쫑상추
2023,60,12,3.0,0.0,20.348627808548233,25.442909437151812,+쫑상추
2024,72,12,1.0,0.2,20.55547632831612,21.44818639158782,+쫑상추
2025,84,12,0.01,0.6,18.66929869366238,12.907775764066976,+쫑상추
2020,24,12,1.0,0.2,42.23287500200361,34.24597253057493,전부
2021,36,12,1.0,0.2,22.411160224714894,27.985917848638277,전부
2022,48,12,10.0,0.0,28.468504738886384,27.566358153983078,전부
2023,60,12,3.0,0.2,20.348627808548233,23.765838099703544,전부
2024,72,12,3.0,0.4,20.55547632831612,17.39268672533224,전부
2025,84,12,3.0,0.4,18.66929869366238,19.87808677068494,전부
