year,n_train,n_test,alpha,blend,baseline,model,rmsle,featureset
2020,104,52,1.0,0.2,43.881705816663526,43.06764938046111,0.479174669211841,계절만
2021,156,52,1.0,0.2,25.99399316191641,23.3038456617551,0.3902557604325589,계절만
2022,208,52,30.0,0.4,33.60774621500052,33.3289409819734,0.40634857355091747,계절만
2023,260,53,30.0,0.4,31.08979868404438,26.92328988737163,0.4046264935520676,계절만
2024,313,52,30.0,0.4,26.363447559726648,29.657504920590583,0.4538368524577662,계절만
2025,365,52,30.0,0.6,26.086121592655854,27.67041018886903,0.31565136168697255,계절만
2020,104,52,1.0,0.2,43.881705816663526,32.13213896980334,0.36295832036456654,가격시차
2021,156,52,1.0,0.2,25.99399316191641,20.94654522790006,0.3168121391070081,가격시차
2022,208,52,0.01,0.0,33.60774621500052,22.114288692807705,0.2761789703458814,가격시차
2023,260,53,0.01,0.0,31.08979868404438,21.624004745312224,0.3141260725289639,가격시차
2024,313,52,0.01,0.0,26.363447559726648,23.04946285712215,0.27206113488630934,가격시차
2025,365,52,0.01,0.2,26.086121592655854,21.252908553033638,0.24496239467478428,가격시차
2020,104,52,1.0,0.2,43.881705816663526,30.472282805438322,0.34848090281540584,+모멘텀
2021,156,52,1.0,0.2,25.99399316191641,20.454131415296466,0.3114849252777619,+모멘텀
2022,208,52,0.01,0.0,33.60774621500052,20.970517545064002,0.262546727335331,+모멘텀
2023,260,53,3.0,0.0,31.08979868404438,21.706355580071413,0.31599932078036125,+모멘텀
2024,313,52,10.0,0.0,26.363447559726648,20.123380806636,0.24617704449919306,+모멘텀
2025,365,52,3.0,0.0,26.086121592655854,22.219359358677394,0.253859200332363,+모멘텀
2020,104,52,1.0,0.2,43.881705816663526,31.59986811789681,0.36169173665638626,+고온(2~4주)
2021,156,52,1.0,0.2,25.99399316191641,20.851505112391518,0.3173333243497418,+고온(2~4주)
2022,208,52,1.0,0.0,33.60774621500052,21.040271212373078,0.2738673421954676,+고온(2~4주)
2023,260,53,1.0,0.0,31.08979868404438,21.54360218418126,0.3111717355754778,+고온(2~4주)
2024,313,52,1.0,0.0,26.363447559726648,23.38007541359688,0.2716164880955079,+고온(2~4주)
2025,365,52,0.01,0.2,26.086121592655854,23.275852062963924,0.26837682835404053,+고온(2~4주)
2020,104,52,1.0,0.2,43.881705816663526,33.11823235491265,0.37710123728327416,+발아(6~8주)
2021,156,52,1.0,0.2,25.99399316191641,21.043875805727417,0.31519210548133453,+발아(6~8주)
2022,208,52,0.01,0.0,33.60774621500052,21.73009681260331,0.2735045062552991,+발아(6~8주)
2023,260,53,0.01,0.0,31.08979868404438,21.84552534603873,0.3167245672748134,+발아(6~8주)
2024,313,52,0.01,0.0,26.363447559726648,22.984975478034585,0.2706699629786275,+발아(6~8주)
2025,365,52,0.01,0.2,26.086121592655854,21.316601187520178,0.24644493317960273,+발아(6~8주)
2020,104,52,1.0,0.2,43.881705816663526,32.43212160353928,0.3570128708010975,+광
2021,156,52,1.0,0.2,25.99399316191641,20.82333742757108,0.3185297671820677,+광
2022,208,52,3.0,0.0,33.60774621500052,21.303396716217964,0.26881418557939296,+광
2023,260,53,3.0,0.0,31.08979868404438,21.49006092901879,0.30925067503884907,+광
2024,313,52,3.0,0.2,26.363447559726648,21.572371270569857,0.26348193802951114,+광
2025,365,52,3.0,0.2,26.086121592655854,20.362288528515503,0.2378834616532537,+광
2020,104,52,1.0,0.2,43.881705816663526,33.30099093674772,0.36245596100935745,+기상전부
2021,156,52,1.0,0.2,25.99399316191641,20.310826292890606,0.3141479916637051,+기상전부
2022,208,52,3.0,0.2,33.60774621500052,19.960494620706523,0.26822281506499157,+기상전부
2023,260,53,3.0,0.0,31.08979868404438,21.94203859065019,0.3122674039103092,+기상전부
2024,313,52,3.0,0.2,26.363447559726648,21.583665003618773,0.23882551203232594,+기상전부
2025,365,52,3.0,0.2,26.086121592655854,20.951884212682913,0.24344643386376041,+기상전부
2020,104,52,1.0,0.2,43.881705816663526,30.884979051870808,0.3594840664646838,+물량
2021,156,52,1.0,0.2,25.99399316191641,21.22654012947175,0.3203687222493423,+물량
2022,208,52,0.1,0.0,33.60774621500052,21.501486988797744,0.2809833254228018,+물량
2023,260,53,0.1,0.0,31.08979868404438,21.48765501131046,0.31684696510423455,+물량
2024,313,52,1.0,0.0,26.363447559726648,24.1027706659836,0.2759483673499966,+물량
2025,365,52,3.0,0.2,26.086121592655854,22.231462842258924,0.25113393534524875,+물량
2020,104,52,1.0,0.2,43.881705816663526,32.099061215056764,0.36456474029613745,+쫑상추
2021,156,52,1.0,0.2,25.99399316191641,21.02096129940831,0.31741542122001243,+쫑상추
2022,208,52,0.01,0.0,33.60774621500052,21.797568276648377,0.27496529426905497,+쫑상추
2023,260,53,0.01,0.0,31.08979868404438,21.578218883028562,0.3156626757113429,+쫑상추
2024,313,52,0.01,0.0,26.363447559726648,22.922821983831277,0.27122248218820316,+쫑상추
2025,365,52,0.1,0.2,26.086121592655854,21.050724102246445,0.2429946239099882,+쫑상추
2020,104,52,1.0,0.2,43.881705816663526,28.616942973134034,0.3262628314669469,전부
2021,156,52,1.0,0.2,25.99399316191641,22.054346526461806,0.3248288957486573,전부
2022,208,52,10.0,0.0,33.60774621500052,19.900285424017277,0.2631808670127807,전부
2023,260,53,10.0,0.0,31.08979868404438,20.17311007476309,0.30666130940915554,전부
2024,313,52,10.0,0.0,26.363447559726648,25.43686377129464,0.27455771113685307,전부
2025,365,52,30.0,0.0,26.086121592655854,22.590001690996914,0.2539357491904092,전부
