h,seasonal,direct,drift,best,wins
1,22.493767079504984,22.5719559365431,26.78898609031229,seasonal,4/5
2,22.970432329907457,22.370997351420602,29.431028648689164,direct,3/4
3,22.6656564675817,22.195242698066785,28.189039548277258,direct,2/4
4,22.590127538746025,24.082517225983217,25.109589828057672,seasonal,1/4
6,22.771921223382236,24.432967102877434,24.93227345842415,seasonal,2/4
8,22.932642037085554,24.026973178007903,24.601237027903437,seasonal,1/4
10,23.071246696184293,25.220641611439156,25.556869757791127,seasonal,1/4
12,22.99124197077418,29.737083988935296,24.73968645308631,seasonal,1/4
15,22.432100419966243,28.24660968786956,24.50407570646821,seasonal,1/3
18,22.774269678659635,27.58700923544322,26.897889172933986,seasonal,1/3
