year,county,pick,habit,pick_rel,habit_rel,best_rel,best,hit
2020,남원시,대구북부,광주각화,1.2147332656004448,0.9094666107273878,1.2147332656004448,대구북부,1
2020,완주군,인천삼산,광주서부,1.1427268767798378,1.0192577068777544,1.1427268767798378,인천삼산,1
2020,익산시,대구북부,서울가락,1.1420307119485815,0.9686577866165279,1.1420307119485815,대구북부,1
2020,장수군,부산엄궁,광주각화,1.0912406505363796,1.0025644528309736,1.1930535038702632,진주,0
2020,전주시,전주,전주,0.9957361993416904,0.9957361993416904,0.9957361993416904,전주,1
2020,진안군,광주서부,광주서부,1.0180879181222124,1.0180879181222124,1.0180879181222124,광주서부,1
2021,남원시,대구북부,광주각화,1.1915347177474163,0.8947771860676973,1.1915347177474163,대구북부,1
2021,완주군,인천삼산,광주각화,1.1833653982911678,0.8332821749625342,1.2394894305573467,서울가락,0
2021,익산시,대구북부,서울가락,1.012451844233579,0.9818526065950329,1.0861468634502451,구리,0
2021,장수군,부산엄궁,광주각화,0.9649779478454799,1.019415897055743,1.019415897055743,광주각화,0
2021,전주시,전주,전주,1.0310065640993775,1.0310065640993775,1.0310065640993775,전주,1
2022,남원시,대구북부,광주각화,1.2280985489606597,0.8953365947322416,1.2280985489606597,대구북부,1
2022,무주군,대전오정,대전오정,0.9648812840018456,0.9648812840018456,0.9648812840018456,대전오정,1
2022,완주군,인천삼산,광주각화,0.9819580429759224,0.8302447218829291,1.5081149042224877,서울가락,0
2022,장수군,부산엄궁,광주각화,0.8809255105310274,1.02121796770381,1.0692334917285713,대구북부,0
2022,진안군,광주서부,대전오정,0.9636291958292056,0.9339644283362384,1.1616380839453453,부산엄궁,0
2023,남원시,대구북부,광주각화,1.1279210437515774,0.9104826952095061,1.1279210437515774,대구북부,1
2023,완주군,서울가락,광주서부,1.1625835149828003,0.9816151369092718,1.1625835149828003,서울가락,1
2023,장수군,진주,광주각화,0.8328242014256573,1.0114335005733734,1.0594302736145864,대구북부,0
2023,전주시,대전오정,전주,1.075134796696863,1.0343060656927816,1.1129252620605563,대전노은,0
2023,진안군,부산엄궁,대전오정,1.0456672957728845,0.8924235846427455,1.0456672957728845,부산엄궁,1
2024,김제시,대전오정,대전오정,1.0129105757756351,1.0129105757756351,1.0283998990265744,대전노은,0
2024,남원시,대구북부,광주각화,1.0426150573563704,0.9263895951831269,1.0715431220375942,대전노은,0
2024,완주군,서울가락,광주각화,1.235295819625362,0.8991402149283492,1.2596941995476678,대전오정,0
2024,장수군,대구북부,광주각화,1.046618624696508,0.9927978265106525,1.046618624696508,대구북부,1
2024,진안군,부산엄궁,대전오정,1.0838172689875578,0.9388956046572874,1.0838172689875578,부산엄궁,1
2025,김제시,대전노은,대전오정,1.037060790356349,0.978415757090341,1.037060790356349,대전노은,1
2025,남원시,대구북부,부산반여,1.1526009919625348,1.1178528131013412,1.1526009919625348,대구북부,1
2025,무주군,대전오정,대전오정,0.9394961582519995,0.9394961582519995,0.9394961582519995,대전오정,1
2025,부안군,인천남촌,인천삼산,1.0145787203068617,0.9843294794755312,1.0145787203068617,인천남촌,1
2025,완주군,서울가락,광주각화,1.1260731534747663,0.8599984416787727,1.1564383670439833,대전오정,0
2025,장수군,대구북부,광주각화,0.973347662612518,1.0080542879486147,1.0080542879486147,광주각화,0
2026,김제시,대전노은,대전오정,1.0449047587245328,0.9574518278903501,1.0449047587245328,대전노은,1
2026,남원시,대구북부,부산반여,1.1776718773189951,0.8981610507209306,1.1776718773189951,대구북부,1
2026,부안군,인천남촌,인천남촌,1.0199426602792256,1.0199426602792256,1.0199426602792256,인천남촌,1
2026,완주군,서울가락,광주각화,1.0719002677164011,0.9367435243585038,1.1083871353941839,대전오정,0
