market,eup,year,ton
부산엄궁,금지면,2018,419.4
부산엄궁,금지면,2019,546.2
부산엄궁,금지면,2020,510.6
부산엄궁,금지면,2021,543.9
부산엄궁,금지면,2022,559.2
부산엄궁,금지면,2023,585.5
부산엄궁,금지면,2024,128.0
부산엄궁,금지면,2025,0.0
부산엄궁,금지면,2026,0.0
부산엄궁,운봉읍,2018,0.0
부산엄궁,운봉읍,2019,0.1
부산엄궁,운봉읍,2020,0.0
부산엄궁,운봉읍,2021,0.0
부산엄궁,운봉읍,2022,0.0
부산엄궁,운봉읍,2023,0.0
부산엄궁,운봉읍,2024,394.4
부산엄궁,운봉읍,2025,876.4
부산엄궁,운봉읍,2026,997.0
창원내서,금지면,2018,29.9
창원내서,금지면,2019,6.3
창원내서,금지면,2020,4.3
창원내서,금지면,2021,25.5
창원내서,금지면,2022,46.2
창원내서,금지면,2023,69.4
창원내서,금지면,2024,122.0
창원내서,금지면,2025,147.6
창원내서,금지면,2026,0.0
창원내서,운봉읍,2018,0.3
창원내서,운봉읍,2019,26.1
창원내서,운봉읍,2020,24.8
창원내서,운봉읍,2021,6.7
창원내서,운봉읍,2022,0.0
창원내서,운봉읍,2023,0.0
창원내서,운봉읍,2024,0.0
창원내서,운봉읍,2025,92.6
창원내서,운봉읍,2026,195.1
