eup,2018,2019,2020,2021,2022,2023,2024,2025,2026,합계
금지면,2468.8,2575.4,2390.3,2299.1,2292.0,2421.7,1718.7,1694.9,1200.8,19061.7
(읍면 미기재),594.8,635.0,566.3,605.3,664.7,819.8,1353.7,1818.4,1847.5,8905.5
동충동,257.7,398.5,540.7,607.9,735.9,793.6,890.3,1053.9,701.4,5979.9
수지면,875.8,839.0,699.0,488.2,520.8,541.5,463.9,590.8,426.1,5445.0
아영면,134.9,161.3,201.0,220.0,294.6,346.2,497.3,551.2,288.1,2694.6
운봉읍,7.4,29.3,25.9,7.2,0.1,0.1,394.5,970.4,1192.7,2627.6
인월면,102.3,79.7,39.9,48.9,72.5,89.4,62.2,101.4,99.8,696.1
송동면,24.7,45.4,33.9,21.0,17.1,22.9,17.8,13.5,8.9,205.3
산동면,39.4,21.2,13.2,7.3,0.2,0.1,0.0,0.3,0.0,81.7
산내면,1.8,0.3,0.1,0.0,0.5,4.1,11.8,18.2,34.9,71.9
사매면,5.1,8.5,6.6,3.4,2.3,5.9,8.2,10.7,7.8,58.4
금동,2.2,2.3,4.0,3.8,2.2,10.7,6.6,7.9,1.3,41.1
주생면,1.7,5.6,4.2,0.7,2.1,2.8,0.9,3.8,2.2,24.0
갈치동,0.0,0.0,0.1,6.8,1.1,6.8,7.9,0.3,0.2,23.2
향교동,0.0,0.0,0.0,0.0,0.2,0.5,0.5,12.8,2.4,16.4
대산면,1.8,0.0,0.0,0.0,0.1,0.1,3.8,6.2,1.6,13.5
신정동,0.5,0.4,0.2,0.0,0.0,0.0,2.2,5.9,2.5,11.7
보절면,3.2,1.2,1.4,0.0,1.0,2.6,0.1,0.1,0.4,10.0
하정동,0.0,0.5,3.7,0.0,0.0,0.2,0.2,0.0,0.0,4.6
왕정동,0.0,0.6,1.5,0.0,0.2,0.4,1.2,0.0,0.2,4.1
주천면,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
이백면,0.2,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9
죽항동,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8
도통동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7
대강면,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
