county,eup,price_kg,qty_kg,n_rec,n_months,price_summer,price_winter,n_markets,share,summer_ratio
남원시,금지면,3772.5175547868453,7654214.4,24248,38,5902.305463776095,3578.371101028886,10,27.040476785358763,1.6494391713813612
완주군,삼례읍,2790.0640114781845,4126732.9,6589,38,4642.200266407708,2578.8117071137963,6,14.578743075426035,1.8001315309690658
익산시,목천동,3096.568700518192,3321106.9,11451,38,5266.373845989185,2969.5883906235404,12,11.732662470382955,1.7734356258320958
남원시,수지면,3031.5009091741204,2518239.3,11652,38,5267.872065641942,2987.791447296431,3,8.896326621269989,1.7631324537088062
장수군,계남면,3904.568529011978,1516397.7999999998,7075,38,5500.359953653689,3102.859857430058,6,5.357064404711356,1.772674308987116
남원시,동충동,4108.824598144541,1261412.5,4729,38,6563.397858864948,3909.4655631177775,2,4.456263391708934,1.6788478509146079
완주군,용진면,2747.266905333828,1259991.8,4786,38,4290.193394749044,2552.979194583863,3,4.451244404343103,1.6804654749442047
익산시,망성면,2927.6811150654353,1183655.2,5470,38,4835.6954767302595,3106.212755761011,12,4.181565773421395,1.5567817973065825
장수군,장수읍,3697.9712752697087,719453.3,5764,38,5433.150803313629,3326.8114467114465,5,2.541653426483553,1.633140588320477
익산시,갈산동,3141.569750795753,660506.4,1822,38,5293.065412378344,3129.378295793048,2,2.333408373794819,1.6914111724664385
남원시,아영면,3797.5868689815234,512463.6,5532,38,5869.97264928153,2958.6930255254156,4,1.8104091883213225,1.983974883044556
순창군,순창읍,2746.3494011350067,486517.0,4195,38,4509.773811927389,2767.029607487457,2,1.7187461647510667,1.6298249211805127
완주군,고산면,2475.4187906943553,413362.0,2659,38,3975.434730214319,2480.7283294666627,5,1.4603073523717167,1.6025272429041058
김제시,용지면,2974.713060041552,379477.2,2672,38,5431.961748568468,2628.4507375911444,2,1.3406006000005621,2.0666020750864873
익산시,함열읍,3699.3872748624976,330176.0,789,31,6246.907348818133,3423.4749652850037,3,1.1664314580844004,1.824727042599559
완주군,봉동읍,2871.5731568344663,326580.0,3588,38,4691.094760435479,2556.318549473601,7,1.1537276651882737,1.835097883791311
남원시,인월면,3274.8045664451947,223835.6,3069,38,5050.602867092506,2836.592230296169,3,0.7907567033315462,1.780517768169016
진안군,진안읍,4290.8175350079455,149766.0,2789,38,5306.097619449685,2801.3345890060095,5,0.5290868317244994,1.8941320470156457
김제시,공덕면,2852.597021506727,147279.5,1560,38,4727.194252362826,2665.2389205275686,2,0.5203026323262183,1.7736474640056303
고창군,고창읍,3157.1556268641216,134782.0,979,37,5453.119456527936,3376.503364500453,3,0.476152006152875,1.6150197017009975
장수군,번암면,4367.478932203686,114313.0,1387,34,6301.745354890327,2785.4053545924967,3,0.4038400103823478,2.2624158973846265
남원시,송동면,2606.381731797491,109707.4,1914,38,4665.039671325617,2815.9902831872832,2,0.3875695463772308,1.6566249177697745
남원시,산동면,3709.635128375023,76518.0,711,37,6669.263403836694,4117.94455445835,2,0.270319472977146,1.6195612436345517
김제시,백구면,2828.6641340877363,74496.0,1330,38,4493.95597017064,2581.851965472514,4,0.26317623904055865,1.7405939729577737
순창군,적성면,2846.1012182376285,73463.5,690,29,4289.975377842119,3407.5347154190827,1,0.25952866780439326,1.25896747535102
남원시,운봉읍,3871.997390556495,65346.5,1002,30,4758.902641411302,4016.100155546782,7,0.23085328211533326,1.184956165706826
완주군,운주면,2630.3979295802797,60040.0,878,38,4542.91821678499,2577.1264370344825,6,0.212106708977598,1.7627843754583334
익산시,삼기면,3399.3147246249887,44532.0,250,7,5690.483361589214,3687.2668650793653,2,0.15732071892389066,1.5432794993716115
정읍시,수성동,1859.9341622917707,36534.2,1294,38,3601.023879315264,2133.767447416452,1,0.12906643782693805,1.6876365246247214
익산시,낭산면,2908.944968147478,34283.0,249,17,5845.342989503252,3344.990529244517,4,0.12111349606727169,1.7474916411268442
익산시,여산면,3253.460815701559,28736.0,385,34,5015.054112554112,2805.3509781357884,6,0.1015172949563667,1.7876743949830889
부안군,부안읍,2944.187010026155,22940.0,560,33,5826.783114992722,2678.8869257950532,4,0.08104143744080776,2.1750761702132766
남원시,사매면,1752.5500788186607,21264.0,152,15,6600.0,1875.3116469512195,2,0.07512053730345843,3.5194150320187707
장수군,장계면,3529.6653449992814,20887.0,704,27,4830.817921870598,2650.699740458015,4,0.07378868804821935,1.8224689308023547
장수군,산서면,4380.188459225644,19523.3,474,24,6223.455509449529,3570.687376074025,2,0.06897106781116487,1.7429292609458926
순창군,구림면,2614.40328659088,15482.0,218,16,3307.95022323357,3350.0,1,0.054694138380932254,0.9874478278309163
익산시,금마면,4904.9122213238625,13234.0,90,19,7672.651051994301,2869.332244435285,4,0.046752501442530514,2.674019736429777
정읍시,농소동,3286.8962101694915,13127.5,917,38,6628.620989592368,2804.8551125,1,0.04637626285981709,2.363266808346546
남원시,주생면,2720.9402905211673,11858.0,161,18,5900.524271523179,3065.3963447995666,2,0.041891428298740124,1.9248813555654545
완주군,비봉면,3121.6593813770046,11663.0,133,29,4573.413918310642,2357.5790737226275,1,0.04120254075292681,1.9398772110278368
장수군,천천면,4965.399289805867,11487.0,228,25,6636.514812474521,4540.557939914163,3,0.040580775583372225,1.4616077804306096
익산시,용안면,2277.896739043426,9994.0,101,17,5844.705882352941,2385.627144329897,2,0.03530636991209385,2.449966205425061
남원시,금동,2571.538575077743,9004.0,371,32,4011.7359782608696,2336.8624919302774,1,0.03180894083334931,1.71671888787394
무주군,무주읍,2987.257506235566,8660.0,379,17,2942.2330937178167,,5,0.03059367254740171,
정읍시,감곡면,2443.9720259045475,7103.0,56,9,1327.8586569579288,2855.9102674719584,2,0.025093170450830756,0.46495111281396967
익산시,평화동,4784.76479887218,6916.0,83,12,5101.527149321267,6415.360169491525,3,0.024432544958179012,0.7952051037729357
남원시,보절면,3220.468543084096,5791.0,193,18,3119.7297297297296,4195.037575925138,3,0.020458193732332944,0.7436714625951188
진안군,정천면,5782.333697396963,4610.0,79,9,6176.691400370959,,1,0.016286008134355875,
남원시,하정동,2295.8652007648184,4184.0,75,9,,3385.7603092783506,1,0.014781053803502166,
진안군,부귀면,1414.9267365384617,3640.0,99,27,1893.1972789115646,1224.75,1,0.01285923418851527,1.545782632301747
익산시,용동면,3432.480682110682,3108.0,43,9,5505.106964980545,2323.529411764706,2,0.010979807653270729,2.3692865418903613
순창군,팔덕면,2917.3611111111113,3096.0,153,13,6975.5952380952385,3523.0925324675327,1,0.010937414573528372,1.9799636750413743
군산시,성산면,919.078947368421,2584.0,29,9,626.9230769230769,,1,0.009128643171187762,
남원시,산내면,4666.7070524229075,2270.0,104,11,7073.642857142857,4476.888736263736,3,0.00801935758459606,1.5800354384161637
순창군,금과면,1604.1366870503598,2224.0,40,8,2185.2517913669067,,1,0.007856850778917021,
익산시,영등동,928.9106862003781,2116.0,26,5,,,1,0.0074753130612357985,
남원시,왕정동,3640.2884615384614,2080.0,55,7,,4141.362530413625,1,0.007348133822008726,
진안군,동향면,2271.9154929577467,1775.0,55,15,3298.3490566037735,1432.5,2,0.006270643045223792,2.3025124304389344
남원시,대산면,2541.252821670429,1772.0,57,6,3710.5978260869565,2000.0,1,0.006260044775288203,1.8552989130434783
익산시,왕궁면,1691.0107852348995,1639.0,54,20,2554.2988648275864,1893.888888888889,1,0.005790188141477067,1.348705766116062
정읍시,입암면,3199.3333293749997,1600.0,39,3,,3333.75,1,0.005652410632314404,
익산시,만석동,3391.9123664233575,1370.0,12,5,2929.289291032149,,1,0.004839876603919208,
김제시,갈공동,1525.455298013245,1208.0,18,9,,1676.923076923077,1,0.004267570027397375,
진안군,주천면,3921.4945424013436,1191.0,23,4,3981.5481548154817,,3,0.004207513164429034,
남원시,신정동,3437.099644128114,1124.0,25,11,4647.73413897281,1482.142857142857,3,0.003970818469200869,3.1358206238852695
정읍시,신태인읍,2491.6666459107805,1076.0,13,8,4511.111111111111,2124.8610645833332,1,0.0038012461502314365,2.123014622603432
