변수,r,lo,hi,p,p_holm
물량t,0.3333013574309784,-0.2154812958249194,0.6872294517584044,0.157,1.0
평균상자kg,-0.33473212552868875,-0.7220500918913147,0.10781529254910303,0.118,1.0
소형상자%,0.3353253065283678,-0.10352470157284548,0.7235988962396704,0.1155,1.0
특비율%,0.0404641891355629,-0.6897548478350699,0.5190568902768299,0.84,1.0
경매비율%,0.08813764862441413,-0.08890698183584991,0.6094084874207395,0.2315,1.0
건당물량kg,0.293173026975587,-0.36760258026993253,0.6296325680792388,0.322,1.0
시장수,0.2003444087949858,-0.3473169020281385,0.5594237025185401,0.414,1.0
최대시장집중%,-0.11322681437435961,-0.5114282005509018,0.46057167703932006,0.6395,1.0
주당거래일,0.45350108542091067,-0.4593818672748938,0.9103483405444242,0.3455,1.0
적상추%,-0.28756499035497335,-0.7827096843993498,-0.03372735946937981,0.034,0.34
