ym,county,full,sample,n_obs_full,n_obs_sample,n_days_sample
2018-01,고창군,4444.454656862745,4521.907216494846,25,3,3
2018-01,김제시,3416.678530085023,3422.3579545454545,147,18,3
2018-01,남원시,4466.652251398033,4568.816842007519,1361,164,3
2018-01,부안군,3180.194805194805,4500.0,7,1,1
2018-01,순창군,3745.021917657887,3615.552486401674,108,12,3
2018-01,완주군,3195.942832304543,3219.9261100677995,434,61,3
2018-01,익산시,4058.258020938639,3961.023275515895,577,69,3
2018-01,장수군,4093.9580281690146,4598.415265200518,124,17,3
2018-01,전주시,3002.2355497820745,2814.239674418605,209,22,3
2018-01,정읍시,3210.5140185935197,3187.4999947183096,64,6,3
2018-01,진안군,3615.6058239095314,,13,0,0
2018-02,고창군,3990.253441802253,4825.0,22,1,1
2018-02,김제시,2745.4007167122427,3462.325,127,5,1
2018-02,남원시,3394.6961480763625,4475.083808332073,1071,57,2
2018-02,부안군,2250.919117647059,,13,0,0
2018-02,순창군,3095.430927861018,4024.127109683794,98,4,1
2018-02,완주군,2557.568944423891,3231.4359655982907,402,21,2
2018-02,익산시,2997.100428718936,3304.1175695074667,481,42,2
2018-02,임실군,1048.076923076923,,2,0,0
2018-02,장수군,3535.9828613033937,4724.497126436781,75,2,1
2018-02,전주시,2486.141536537457,4327.528477380953,174,4,1
2018-02,정읍시,2256.454697585465,1966.7431192660551,75,6,2
2018-02,진안군,2532.4503427152317,,7,0,0
2018-03,고창군,3311.9940476190477,2830.7522123893805,27,3,2
2018-03,군산시,525.0,,1,0,0
2018-03,김제시,2253.289969213701,2148.1311108247423,171,12,2
2018-03,남원시,2439.290974641346,2269.1917921290587,1389,86,2
2018-03,부안군,2626.45966029724,2250.0,31,2,2
2018-03,순창군,2145.1148901770134,1798.1967319672133,138,9,2
2018-03,완주군,2055.3548422234408,1897.8660633892998,485,34,2
2018-03,익산시,2223.9369485232696,2236.9876831197653,666,47,2
2018-03,임실군,1500.0,,1,0,0
2018-03,장수군,2642.3688008960576,3022.511081858407,109,6,2
2018-03,전주시,1969.4352811862404,2056.2754024390247,202,9,2
2018-03,정읍시,2691.60316996337,3015.108695652174,60,3,2
2018-03,진안군,2190.224152014652,1650.0,22,1,1
