ym,full,sample,n_days_full,n_days_sample,n_obs_full,n_obs_sample,err_pct
2018-01,3919.672523739376,3923.672386756135,26,3,3069,373,0.10204584675208862
2018-02,3010.2377719454907,3645.269145010152,22,2,2547,142,21.095721374004484
2018-03,2275.9439638281215,2182.803327071017,27,2,3302,212,-4.09239586902845
2018-04,2504.513914008689,1818.7789797731982,25,2,3479,287,-27.3799610535169
2018-05,2331.1652845414555,2247.8995134506954,27,3,3920,446,-3.571851882100187
2018-06,1785.8908734937759,1765.0375651553518,26,3,4116,475,-1.167669797070429
2018-07,3336.8786367998046,2159.077888928112,26,2,4998,348,-35.296481414776565
2018-08,5487.940396197242,5865.685428934887,27,2,5324,375,6.883183953663116
2018-09,10592.581345719502,12149.26223343724,23,2,4185,365,14.695954054172066
2018-10,3153.4947624455845,3472.2832576048463,27,3,4886,545,10.109054213619064
2018-11,1680.7668169597362,1832.9181246385044,26,2,3892,302,9.052493548985453
2018-12,2120.2863920539735,1988.7580051103846,26,3,3286,370,-6.203331183773439
2019-01,2265.1004138339677,2447.7148543443063,26,3,3359,387,8.06209028946495
2019-02,1669.7813210700274,1456.3143443452072,23,2,2672,256,-12.784127719672087
2019-03,2042.3420625651427,1976.9851756360868,26,3,3487,401,-3.2000950343728864
2019-04,2271.994639066877,2085.0653771498246,26,3,3642,417,-8.22753974427622
2019-05,2871.753842140818,2164.011196483133,27,2,4034,298,-24.644962088048647
2019-06,2376.430097435867,2253.5824051068603,25,3,3995,482,-5.169421665781697
2019-07,3133.9320260635973,2548.4090558731978,27,3,5214,578,-18.683333439297687
2019-08,4887.466579388987,6060.357472808087,27,2,5494,447,23.99793173758602
2019-09,6334.664121511014,4933.273899889703,24,2,4070,363,-22.122565533704034
2019-10,6947.5762003106975,7065.246695409014,27,3,4723,534,1.6936913206227866
2019-11,3182.039190297116,3522.1217817277334,26,3,4054,462,10.687567659996763
2019-12,3584.178654402281,3120.7461485608737,26,2,3508,251,-12.929949941870076
2020-01,5429.134747246955,7465.996546337935,24,1,3279,142,37.51724526866544
2020-02,1875.8211757685644,1922.546124639282,25,3,3526,429,2.490906354736789
2020-03,2118.7369629257355,2048.988538892599,26,2,3532,261,-3.291981272504056
2020-04,1862.5352573469906,1775.79098801789,26,2,3553,284,-4.657322270111541
2020-05,2051.136898837326,2210.390111795293,26,3,3639,441,7.764143536603453
2020-06,3268.699556413674,3759.710028718665,26,3,3910,394,15.021584695404485
2020-07,4956.744418825206,4097.505354076514,27,2,4172,324,-17.334746199247032
2020-08,8765.933542449047,10089.459965570244,26,3,4538,550,15.098522213430183
2020-09,5595.552317583876,6043.49265580573,27,3,4872,590,8.00529264670107
2020-10,1849.447693066939,1814.4152846514255,25,2,4291,427,-1.8942092034741116
2020-11,1891.2961732259532,1662.7516592993732,25,2,3897,321,-12.084015034871847
2020-12,3392.411398243555,3249.8196021174713,27,3,3411,355,-4.2032577829420035
2021-01,4954.457486240421,5034.01773975371,25,3,2875,368,1.6058317935766946
2021-02,2872.576074001911,3131.9673078233754,23,3,2667,341,9.029916950470708
2021-03,2478.9905581003363,2404.557839882056,27,3,3468,379,-3.002541416507786
2021-04,2763.607534150208,2745.677493255146,26,2,3373,279,-0.6487911425011743
2021-05,2829.6170557314213,2629.4785229527447,26,3,3430,403,-7.072990049070199
2021-06,3660.291718602072,3788.783647790572,26,3,3349,346,3.5104286506861695
2021-07,4959.4139282548795,5329.112407115542,27,2,3892,284,7.454479182598739
2021-08,6940.920348891039,5493.970366007661,26,2,3595,277,-20.84665880245347
2021-09,10429.424886633999,7803.593401972113,25,2,3254,314,-25.177145558879893
2021-10,7873.187778150408,8723.690466313881,26,3,3420,388,10.802520048153552
2021-11,3326.3766568719484,3181.857453565123,26,3,2822,261,-4.344643382710853
2021-12,3156.5055006691136,3053.688979118868,27,2,2797,214,-3.2572894781412827
2022-01,4413.221046371991,4464.324441266686,26,3,2584,318,1.157961370113244
2022-02,2388.8441289452467,2886.3024923221737,22,3,2187,316,20.824228644694845
2022-03,2571.995642360223,2727.4516688208205,27,3,3018,346,6.044179231887866
2022-04,2994.042786213555,2830.8480553683785,26,3,3267,357,-5.450647919816874
2022-05,2678.9877538690944,3038.50237741437,26,2,3509,253,13.419793465873491
2022-06,3940.81032938482,4210.63964802342,26,2,3848,308,6.847051648911042
2022-07,8717.365791526741,9511.028629705137,26,3,4511,528,9.104388380143853
2022-08,9334.05959656495,8874.548226542343,27,3,4819,544,-4.922953033123042
2022-09,5183.528037556411,7502.628235646795,25,2,4230,388,44.739802337090104
2022-10,3193.091077130624,3509.8846156155473,26,3,4293,514,9.921218369054492
2022-11,2021.7473338783602,1911.8376528250726,26,3,3557,444,-5.436370767579823
2022-12,5293.6213797743285,3940.3204845735972,27,2,3305,231,-25.564746666079536
2023-01,5635.268974229032,5803.344640154895,26,2,2917,227,2.9825668782537185
2023-02,3858.1326898911652,3659.5723604570067,24,2,3188,273,-5.14653967071723
2023-03,3240.86295780888,2268.844941020769,27,2,3826,300,-29.99256770318002
2023-04,2941.381723835699,3261.837438395234,25,3,3821,458,10.894733993983131
2023-05,2583.767923563818,2994.487761542283,27,3,4393,468,15.896158251394144
2023-06,3414.4836680054686,3055.3102264800755,26,2,4621,348,-10.519114350756295
2023-07,9908.288684272804,8939.787798732226,26,3,5149,568,-9.774653488627724
2023-08,6760.758594082708,5111.089781023025,27,3,5488,500,-24.400646615359708
2023-09,7110.862453302895,7447.051135632059,24,3,4961,637,4.727818665273287
2023-10,5402.425738298889,6110.191301923228,26,2,4914,369,13.100884637929322
2023-11,3733.2027390794183,4856.226041159035,26,2,4199,299,30.08203359340046
2023-12,3197.7034162891396,2976.995447038094,26,3,3691,401,-6.902077538734723
2024-01,4570.4348945145875,4720.605761798766,26,3,3689,434,3.285701924436404
2024-02,2852.9349417949984,3139.554450053435,24,2,3500,336,10.04647894557675
2024-03,3597.1515302734006,3785.7610255822165,26,3,4423,503,5.243301365580245
2024-04,2349.713453158933,2438.9285155388434,26,3,4365,525,3.7968486012611593
2024-05,2434.4695442060793,1979.021277137573,27,2,4482,342,-18.708316485307915
2024-06,2719.8922522790954,2552.7184143561212,25,3,4914,580,-6.146340458262388
2024-07,6727.132420253501,6609.257289602242,27,3,6444,717,-1.752234433447003
2024-08,8191.573887893985,7664.720958783081,27,2,6306,481,-6.431644715913744
2024-09,13738.364993395764,14533.862261331993,24,3,4917,474,5.790334354332822
2024-10,10895.175032584171,11729.94334835712,27,3,5781,635,7.661816476343048
2024-11,3801.5367035958466,3805.8295899185932,26,3,5201,599,0.11292502631070332
2024-12,2958.14451707206,2556.14659171581,26,2,4764,368,-13.589529620214208
2025-01,2719.5840494402237,2502.121205639604,26,2,3781,387,-7.996180292548065
2025-02,2469.632075550244,2297.290037713327,24,3,4027,533,-6.978449929571733
