unit,rel,q,nwk,county,eup,lq,y
고창군|고창군,0.8986534518201346,52541.00000000003,108.0,고창군,고창군,10.869349096176029,-0.15045577005459054
고창군|고창읍,1.2141615295577681,168209.00000000003,251.0,고창군,고창읍,12.032962532818392,0.15045577005459054
김제시|공덕면,1.0836363321695324,716590.8,394.0,김제시,공덕면,13.482260245367005,0.0702927312806987
김제시|김제시,1.0258786681157486,721838.7000000001,194.0,김제시,김제시,13.48955698571364,0.015519854038567172
김제시|김제우체국사서함,1.029950595508794,356383.89999999985,288.0,김제시,김제우체국사서함,12.783763799596576,0.019481207045768237
김제시|백구면,1.0514109401630907,81755.20000000007,269.0,김제시,백구면,11.311484695299253,0.040103386158296006
김제시|요촌동111∼378,0.8530224845681572,44592.000000000015,138.0,김제시,요촌동111∼378,10.70530974972173,-0.1689990009578618
김제시|용지면,1.0342033818131555,596398.1999999996,399.0,김제시,용지면,13.298663843759513,0.02360182243453169
남원시|금동,0.8318072034349758,40891.59999999998,325.0,남원시,금동,10.618679941964638,-0.2752617099612392
남원시|금지면,1.1011175117624483,15062330.60000001,450.0,남원시,금지면,16.527707522678877,0.005218465584216514
남원시|남원시,1.1380624785969342,3274301.5000000014,366.0,남원시,남원시,15.001615121860807,0.0382201179964525
남원시|남원우체국사서함,1.121631825725154,3223075.899999998,450.0,남원시,남원우체국사서함,14.985846710008344,0.023677493878629385
남원시|동충동,1.0922971596642719,5342845.600000001,450.0,남원시,동충동,15.491268952899306,-0.0028241537685796125
남원시|산내면,1.2318117312336607,71861.99999999997,164.0,남원시,산내면,11.182502892175561,0.11737891956985727
남원시|산동면,1.268499097679488,81573.99999999997,162.0,남원시,산동면,11.309265862728706,0.14672727042131212
남원시|송동면,0.8874322630504855,203355.1999999999,403.0,남원시,송동면,12.222709482682873,-0.21053020217562612
남원시|수지면,1.082955735565833,5403234.000000003,450.0,남원시,수지면,15.50250822116101,-0.011413023177030981
남원시|아영면,1.2387000225839073,2679688.7000000007,450.0,남원시,아영면,14.801211189023908,0.12295534250306936
남원시|운봉읍,1.0789502868583114,1311656.6999999995,213.0,남원시,운봉읍,14.08680155266144,-0.015118506439557353
남원시|인월면,1.1642500011584718,687753.6999999997,447.0,남원시,인월면,13.441186058634218,0.0609699855684962
무주군|무주군,0.9490273379614644,30952.299999999992,175.0,무주군,무주군,10.340202588760361,0.1554880920992966
무주군|무주읍,0.6953820599875359,34689.800000000025,251.0,무주군,무주읍,10.454200974596931,-0.1554880920992966
부안군|부안군,0.9815250302761782,415383.0000000001,164.0,부안군,부안군,12.936956265176516,-0.03534766612001344
부안군|부안읍,1.0534258514341752,85748.00000000006,186.0,부안군,부안읍,11.359168041141027,0.03534766612001344
순창군|순창군,1.003101449606426,164600.0000000001,172.0,순창군,순창군,12.011273567225107,0.0034400017591281187
순창군|순창읍,1.0032442099057701,1718789.7000000011,450.0,순창군,순창읍,14.357130938312078,0.0035823105371874807
순창군|적성면,0.9926613960014867,244930.4999999998,397.0,순창군,적성면,12.408729775814546,-0.007022312296315599
완주군|고산면,0.9318029445304704,878143.9999999998,422.0,완주군,고산면,13.685565868280847,0.0014297062080488865
완주군|봉동읍,0.8998988518093136,3056705.0999999978,450.0,완주군,봉동읍,14.932848129095087,-0.03340928308534159
완주군|비봉면,0.9954623102217353,26804.999999999978,162.0,완주군,비봉면,10.196343716261637,0.06751560942336904
완주군|삼례읍,0.8563333707827765,11662535.799999999,450.0,완주군,삼례읍,16.271892193800763,-0.08303190104114078
