[1/104] 2018-01 -> OK(4263건, 121개 작물)
[2/104] 2018-02 -> OK(3791건, 123개 작물)
[3/104] 2018-03 -> OK(4758건, 125개 작물)
[4/104] 2018-04 -> OK(5056건, 121개 작물)
[5/104] 2018-05 -> OK(5933건, 124개 작물)
[6/104] 2018-06 -> OK(7784건, 118개 작물)
[7/104] 2018-07 -> OK(8866건, 118개 작물)
[8/104] 2018-08 -> OK(8060건, 120개 작물)
[9/104] 2018-09 -> OK(6064건, 121개 작물)
[10/104] 2018-10 -> OK(7488건, 129개 작물)
[11/104] 2018-11 -> OK(6637건, 136개 작물)
[12/104] 2018-12 -> OK(4457건, 120개 작물)
[13/104] 2019-01 -> OK(5096건, 121개 작물)
[14/104] 2019-02 -> OK(3315건, 122개 작물)
[15/104] 2019-03 -> OK(4807건, 120개 작물)
[16/104] 2019-04 -> OK(5803건, 122개 작물)
[17/104] 2019-05 -> OK(6071건, 123개 작물)
[18/104] 2019-06 -> OK(7656건, 123개 작물)
[19/104] 2019-07 -> OK(9431건, 126개 작물)
[20/104] 2019-08 -> OK(9526건, 116개 작물)
[21/104] 2019-09 -> OK(7644건, 125개 작물)
[22/104] 2019-10 -> OK(7905건, 135개 작물)
[23/104] 2019-11 -> OK(7562건, 134개 작물)
[24/104] 2019-12 -> OK(4936건, 120개 작물)
[25/104] 2020-01 -> OK(3887건, 121개 작물)
[26/104] 2020-02 -> OK(4411건, 128개 작물)
[27/104] 2020-03 -> OK(4911건, 121개 작물)
[28/104] 2020-04 -> OK(5386건, 118개 작물)
[29/104] 2020-05 -> OK(6401건, 121개 작물)
[30/104] 2020-06 -> OK(5938건, 114개 작물)
[31/104] 2020-07 -> OK(9021건, 119개 작물)
[32/104] 2020-08 -> OK(7965건, 117개 작물)
[33/104] 2020-09 -> OK(8637건, 127개 작물)
[34/104] 2020-10 -> OK(8014건, 132개 작물)
[35/104] 2020-11 -> OK(7544건, 136개 작물)
[36/104] 2020-12 -> OK(3991건, 118개 작물)
[37/104] 2021-01 -> OK(4577건, 120개 작물)
[38/104] 2021-02 -> OK(4238건, 133개 작물)
[39/104] 2021-03 -> OK(4624건, 120개 작물)
