[재개] 체크포인트 0건, 완료월 0개 스킵
[1/104] 2018-01 -> OK(4263건, 121개 작물)
[2/104] 2018-02 -> OK(3791건, 123개 작물)
[3/104] 2018-03 -> OK(4758건, 125개 작물)
[4/104] 2018-04 -> OK(5056건, 121개 작물)
[5/104] 2018-05 -> OK(5933건, 124개 작물)
[6/104] 2018-06 -> OK(7784건, 118개 작물)
[7/104] 2018-07 -> OK(8866건, 118개 작물)
[8/104] 2018-08 -> OK(8060건, 120개 작물)
[9/104] 2018-09 -> OK(6064건, 121개 작물)
[10/104] 2018-10 -> OK(7488건, 129개 작물)
[11/104] 2018-11 -> OK(6637건, 136개 작물)
[12/104] 2018-12 -> OK(4457건, 120개 작물)
[13/104] 2019-01 -> OK(5096건, 121개 작물)
[14/104] 2019-02 -> OK(3315건, 122개 작물)
[15/104] 2019-03 -> OK(4807건, 120개 작물)
[16/104] 2019-04 -> OK(5803건, 122개 작물)
[17/104] 2019-05 -> OK(6071건, 123개 작물)
[18/104] 2019-06 -> OK(7656건, 123개 작물)
[19/104] 2019-07 -> OK(9431건, 126개 작물)
[20/104] 2019-08 -> OK(9526건, 116개 작물)
[21/104] 2019-09 -> OK(7644건, 125개 작물)
[22/104] 2019-10 -> OK(7905건, 135개 작물)
[23/104] 2019-11 -> OK(7562건, 134개 작물)
[24/104] 2019-12 -> OK(4936건, 120개 작물)
[25/104] 2020-01 -> OK(3887건, 121개 작물)
[26/104] 2020-02 -> OK(4411건, 128개 작물)
[27/104] 2020-03 -> OK(4911건, 121개 작물)
[28/104] 2020-04 -> OK(5386건, 118개 작물)
[29/104] 2020-05 -> OK(6401건, 121개 작물)
[30/104] 2020-06 -> OK(5938건, 114개 작물)
[31/104] 2020-07 -> OK(9021건, 119개 작물)
[32/104] 2020-08 -> OK(7965건, 117개 작물)
[33/104] 2020-09 -> OK(8637건, 127개 작물)
[34/104] 2020-10 -> OK(8014건, 132개 작물)
[35/104] 2020-11 -> OK(7544건, 136개 작물)
[36/104] 2020-12 -> OK(3991건, 118개 작물)
[37/104] 2021-01 -> OK(4577건, 120개 작물)
[38/104] 2021-02 -> OK(4238건, 133개 작물)
[39/104] 2021-03 -> OK(4624건, 120개 작물)
[40/104] 2021-04 -> OK(4432건, 129개 작물)
[41/104] 2021-05 -> OK(4873건, 116개 작물)
[42/104] 2021-06 -> OK(4510건, 117개 작물)
[43/104] 2021-07 -> OK(6610건, 104개 작물)
[44/104] 2021-08 -> OK(5587건, 99개 작물)
[45/104] 2021-09 -> OK(6231건, 116개 작물)
[46/104] 2021-10 -> OK(5687건, 121개 작물)
[47/104] 2021-11 -> OK(3668건, 106개 작물)
[48/104] 2021-12 -> OK(2982건, 100개 작물)
[49/104] 2022-01 -> OK(3140건, 108개 작물)
[50/104] 2022-02 -> OK(2627건, 92개 작물)
[51/104] 2022-03 -> OK(3016건, 109개 작물)
[52/104] 2022-04 -> OK(3720건, 121개 작물)
[53/104] 2022-05 -> OK(4170건, 101개 작물)
[54/104] 2022-06 -> OK(5711건, 105개 작물)
[55/104] 2022-07 -> OK(7089건, 100개 작물)
[56/104] 2022-08 -> OK(7110건, 98개 작물)
[57/104] 2022-09 -> OK(7126건, 114개 작물)
[58/104] 2022-10 -> OK(6047건, 116개 작물)
[59/104] 2022-11 -> OK(5817건, 125개 작물)
[60/104] 2022-12 -> OK(4040건, 118개 작물)
[61/104] 2023-01 -> OK(4030건, 108개 작물)
[62/104] 2023-02 -> OK(3629건, 95개 작물)
[63/104] 2023-03 -> OK(4264건, 103개 작물)
[64/104] 2023-04 -> OK(5075건, 113개 작물)
[65/104] 2023-05 -> OK(5769건, 121개 작물)
[66/104] 2023-06 -> OK(8210건, 118개 작물)
[67/104] 2023-07 -> OK(6738건, 101개 작물)
[68/104] 2023-08 -> OK(5503건, 106개 작물)
[69/104] 2023-09 -> OK(8543건, 118개 작물)
[70/104] 2023-10 -> OK(7265건, 124개 작물)
[71/104] 2023-11 -> OK(6304건, 108개 작물)
[72/104] 2023-12 -> OK(3978건, 111개 작물)
[73/104] 2024-01 -> OK(3831건, 115개 작물)
[74/104] 2024-02 -> OK(4032건, 117개 작물)
[75/104] 2024-03 -> OK(4142건, 111개 작물)
[76/104] 2024-04 -> OK(4911건, 132개 작물)
[77/104] 2024-05 -> OK(5129건, 118개 작물)
[78/104] 2024-06 -> OK(8498건, 126개 작물)
    ! 실패(5회): 311201 2024-07-05 p3 429
    ! 실패(5회): 330101 2024-07-05 p1 429
    ! 실패(5회): 340101 2024-07-05 p1 429
    ! 실패(5회): 350402 2024-07-05 p1 429
    ! 실패(5회): 310401 2024-07-05 p1 429
    ! 실패(5회): 310101 2024-07-05 p1 429
    ! 실패(5회): 240004 2024-07-15 p1 429
    ! 실패(5회): 110001 2024-07-15 p1 429
    ! 실패(5회): 240001 2024-07-15 p1 429
    ! 실패(5회): 210009 2024-07-15 p1 429
    ! 실패(5회): 210001 2024-07-15 p1 429
    ! 실패(5회): 220001 2024-07-15 p1 429
    ! 실패(5회): 250001 2024-07-15 p1 429
    ! 실패(5회): 380303 2024-07-15 p1 429
    ! 실패(5회): 350101 2024-07-15 p1 429
    ! 실패(5회): 350301 2024-07-15 p1 429
    ! 실패(5회): 250003 2024-07-15 p1 429
    ! 실패(5회): 360301 2024-07-15 p1 429
    ! 실패(5회): 230001 2024-07-15 p1 429
    ! 실패(5회): 110008 2024-07-15 p1 429
    ! 실패(5회): 230003 2024-07-15 p1 429
    ! 실패(5회): 380101 2024-07-15 p1 429
    ! 실패(5회): 380401 2024-07-15 p1 429
    ! 실패(5회): 311201 2024-07-15 p1 429
    ! 실패(5회): 330101 2024-07-15 p1 429
    ! 실패(5회): 340101 2024-07-15 p1 429
    ! 실패(5회): 350402 2024-07-15 p1 429
    ! 실패(5회): 310401 2024-07-15 p1 429
    ! 실패(5회): 310101 2024-07-15 p1 429
    ! 실패(5회): 240004 2024-07-25 p1 429
    ! 실패(5회): 110001 2024-07-25 p1 429
    ! 실패(5회): 240001 2024-07-25 p1 429
    ! 실패(5회): 210009 2024-07-25 p1 429
