variety,qty_t,share,price_kg,n_rec,peak_m,peak_p,low_p,amp,n_county
포기찹,16478.4914,38.378331346140875,3780.908484354072,26367,9,7416.355924251256,2237.170710312002,3.3150603528225835,13
청상추,12356.602600000002,28.77847112238599,3268.767707253367,51367,9,6978.297970481724,1934.8191684135068,3.606692596602564,14
적상추,10604.5979,24.698060163370886,3134.073197789423,51323,9,7075.1644354395385,2045.0023883872423,3.459734069562262,13
기타,1015.74923,2.3656753259298635,2951.076078370249,10380,9,5705.906207401173,1600.2197571665863,3.565701636820358,14
적포기,844.261,1.9662800200644728,3220.6661436025115,4282,8,7319.252439559546,1741.6517839088601,4.202477502783392,12
꽃적상추,572.935,1.3343630030235185,4103.495274301623,2136,9,7339.874382305073,2074.0076097347346,3.5389814134982087,9
쫑상추,516.8545,1.203751774191172,1563.7957861893433,7090,9,2313.679954284653,1039.982967095984,2.2247286998798654,10
상추순,293.6582,0.683928609029787,1379.3914169772886,6049,9,2214.683394662367,899.93536328087,2.4609360683286803,11
상추솎음,157.9415,0.3678450334541249,1086.5280106748385,1669,9,1847.1276649824022,682.9890157414308,2.704476386018039,7
상추(일반),42.868,0.09983937656734566,3916.4231610058782,373,9,7705.680166911765,2589.74358974359,2.9754606585104835,2
청포기,34.406,0.0801314171450988,2260.7902500726623,482,8,5457.027363184079,814.6505538771399,6.698611247746197,10
흑적,18.5275,0.04315046303423292,2631.799933720146,601,9,5966.43795476493,1442.3793782894736,4.136524720590892,4
토말린,0.074,0.0001723456626384151,4243.243243243243,2,9,5000.0,1500.0,3.3333333333333335,1
